Id	P1	P2	Cycle	Group	MS	Weight	UC	No.(+/+)	No.(-/-)	No.(+/-)	No.(?)	QTL1	QTL2	QTL3	QTL4	QTL5	QTL6	QTL7	QTL8	QTL9	QTL10
155	f1	f1	F3	-	0.674958	0.674958	7.707107	6	2	2	0	0.002867	0.998198	0.996407	0.002188	0.999197	0.997267	0.265547	0.998701	0.511692	0.977514
156	f1	f1	F3	-	0.709055	0.709055	7.707107	6	2	2	0	0.997141	0.998198	0.996407	0.994931	0.999007	0.997815	0.499636	0.001055	0.605713	0.000641
157	f1	f1	F3	-	0.505143	0.505143	6.000000	3	3	4	0	0.002867	0.001732	0.996407	0.504736	0.492386	0.966397	0.996650	0.499771	0.589875	0.000609
158	f1	f1	F3	-	0.445727	0.445727	5.000000	4	5	1	0	0.997146	0.998198	0.210753	0.002188	0.009630	0.966117	0.265547	0.001147	0.007327	0.999217
159	f1	f1	F3	-	0.691253	0.691253	7.707107	6	2	2	0	0.996632	0.998198	0.995583	0.001915	0.493065	0.936810	0.002771	0.998351	0.511692	0.977514
160	f1	f1	F3	-	0.446550	0.446550	5.618034	2	3	5	0	0.293603	0.001716	0.499660	0.002208	0.562786	0.878571	0.716562	0.998701	0.511692	0.000000
161	f1	f1	F3	-	0.496362	0.496362	5.707107	4	4	2	0	0.353263	0.001941	0.996407	0.163519	0.009630	0.935221	0.499636	0.998390	0.006788	0.998831
162	f1	f1	F3	-	0.319716	0.319716	3.000000	3	7	0	0	0.002622	0.001734	0.003596	0.002212	0.007921	0.002433	0.233821	0.998701	0.986786	0.957330
163	f1	f1	F3	-	0.549927	0.549927	6.618034	3	2	5	0	0.997315	0.001972	0.996407	0.000000	0.495534	0.499815	0.997153	0.499590	0.511692	0.499789
164	f1	f1	F3	-	0.619970	0.619970	6.707107	5	3	2	0	0.997315	0.001759	0.995583	0.159476	0.999197	0.499671	0.996650	0.043512	0.986786	0.519754
165	f1	f1	F3	-	0.576923	0.576923	7.000000	4	2	4	0	0.499493	0.499793	0.003502	0.795479	0.484644	0.004252	0.997153	0.998701	0.986786	0.499425
166	f1	f1	F3	-	0.655121	0.655121	7.366025	5	2	3	0	0.002622	0.993485	0.580647	0.504736	0.486437	0.002136	0.996438	0.998701	0.986786	0.999217
167	f1	f1	F3	-	0.477262	0.477262	6.000000	3	3	4	0	0.002622	0.499616	0.499660	0.795479	0.486437	0.499815	0.002771	0.000602	0.986786	0.998831
168	f1	f1	F3	-	0.565609	0.565609	6.822876	2	1	7	0	0.499672	0.499910	0.212504	0.993130	0.495534	0.966397	0.499951	0.499771	0.511692	0.477529
169	f1	f1	F3	-	0.597571	0.597571	7.224745	3	1	6	0	0.499493	0.377175	0.576405	0.610334	0.999197	0.499914	0.499636	0.907551	0.006788	0.999217
170	f1	f1	F3	-	0.523435	0.523435	6.618034	3	2	5	0	0.499252	0.998198	0.786123	0.504736	0.484644	0.499815	0.499951	0.954206	0.006788	0.000641
171	f1	f1	F3	-	0.391826	0.391826	5.000000	2	4	4	0	0.002622	0.998198	0.410174	0.504736	0.493065	0.002136	0.499951	0.001218	0.007327	0.998831
172	f1	f1	F3	-	0.304886	0.304886	3.707107	2	6	2	0	0.002867	0.499570	0.499791	0.994931	0.002906	0.002136	0.996650	0.001218	0.007327	0.041467
173	f1	f1	F3	-	0.548864	0.548864	6.618034	3	2	5	0	0.499672	0.499910	0.499934	0.504736	0.002906	0.499738	0.995649	0.998701	0.986786	0.000609
174	f1	f1	F3	-	0.590692	0.590692	7.000000	4	2	4	0	0.996632	0.998198	0.499660	0.000000	0.484644	0.966397	0.499735	0.455654	0.006788	0.999217
175	f1	f1	F3	-	0.536337	0.536337	6.822876	2	1	7	0	0.353263	0.619795	0.499791	0.504736	0.562786	0.878393	0.499951	0.001147	0.943720	0.499789
176	f1	f1	F3	-	0.625868	0.625868	7.822876	3	0	7	0	0.499120	0.997742	0.499934	0.993130	0.495534	0.499356	0.263679	0.998701	0.511692	0.499789
177	f1	f1	F3	-	0.459489	0.459489	5.618034	2	3	5	0	0.351713	0.001734	0.213013	0.708031	0.999060	0.499738	0.997153	0.499590	0.303963	0.020895
178	f1	f1	F3	-	0.519824	0.519824	5.707107	4	4	2	0	0.002513	0.998198	0.996407	0.002170	0.494674	0.966318	0.730817	0.001138	0.006788	0.999217
179	f1	f1	F3	-	0.600592	0.600592	7.000000	4	2	4	0	0.704203	0.499910	0.996407	0.504736	0.562786	0.966397	0.763344	0.001138	0.007784	0.999217
180	f1	f1	F3	-	0.267536	0.267536	3.618034	0	5	5	0	0.353263	0.001734	0.202482	0.504570	0.563331	0.002136	0.499735	0.041530	0.006788	0.499789
181	f1	f1	F3	-	0.504692	0.504692	6.224745	2	2	6	0	0.641119	0.499502	0.995821	0.800881	0.009630	0.499738	0.002771	0.499771	0.597899	0.499789
182	f1	f1	F3	-	0.252062	0.252062	3.366025	1	6	3	0	0.002622	0.001734	0.996407	0.002188	0.002906	0.499894	0.002771	0.499771	0.511692	0.000641
183	f1	f1	F3	-	0.362218	0.362218	4.000000	3	6	1	0	0.002513	0.124014	0.996407	0.804428	0.002906	0.997815	0.003180	0.084625	0.605713	0.000577
184	f1	f1	F3	-	0.561172	0.561172	6.000000	5	4	1	0	0.499252	0.001734	0.213013	0.994931	0.999060	0.997815	0.002771	0.998122	0.904380	0.000641
185	f1	f1	F3	-	0.548972	0.548972	6.366025	4	3	3	0	0.995162	0.998198	0.499934	0.993130	0.494998	0.997815	0.002771	0.001138	0.006788	0.499789
186	f1	f1	F3	-	0.698046	0.698046	8.000000	5	1	4	0	0.002622	0.997742	0.499934	0.795479	0.484644	0.499738	0.716562	0.998122	0.986786	0.998831
187	f1	f1	F3	-	0.400986	0.400986	4.000000	4	6	0	0	0.002622	0.001734	0.996407	0.002188	0.999197	0.997815	0.002771	0.001122	0.006788	0.999217
188	f1	f1	F3	-	0.400782	0.400782	4.707107	3	5	2	0	0.995162	0.499622	0.003502	0.504736	0.996929	0.002136	0.997153	0.001218	0.006788	0.000577
189	f1	f1	F3	-	0.570563	0.570563	6.366025	4	3	3	0	0.704203	0.499910	0.003502	0.002372	0.996173	0.499914	0.996438	0.997112	0.006788	0.999217
190	f1	f1	F3	-	0.401963	0.401963	5.000000	2	4	4	0	0.002622	0.499622	0.004080	0.002188	0.007921	0.499914	0.997153	0.499590	0.986786	0.519754
191	f1	f1	F3	-	0.145960	0.145960	2.366025	0	7	3	0	0.499672	0.001734	0.422266	0.002143	0.002906	0.064220	0.002771	0.456455	0.006788	0.000641
192	f1	f1	F3	-	0.525569	0.525569	6.000000	3	3	4	0	0.002622	0.499622	0.499934	0.002188	0.999197	0.997267	0.235521	0.499771	0.520354	0.999217
193	f1	f1	F3	-	0.594268	0.594268	7.000000	4	2	4	0	0.996705	0.499622	0.996407	0.002372	0.999197	0.966318	0.499864	0.455654	0.006788	0.519754
194	f1	f1	F3	-	0.399019	0.399019	4.707107	3	5	2	0	0.002622	0.998198	0.003502	0.002188	0.493065	0.002136	0.002709	0.499771	0.986786	0.999217
195	f1	f1	F3	-	0.406021	0.406021	5.000000	4	5	1	0	0.002641	0.997742	0.996407	0.804428	0.484644	0.002433	0.763344	0.001138	0.006788	0.000641
196	f1	f1	F3	-	0.349617	0.349617	5.224745	1	3	6	0	0.002622	0.499502	0.004080	0.318424	0.486437	0.469132	0.499735	0.911856	0.303745	0.000641
197	f1	f1	F3	-	0.452643	0.452643	5.366025	3	4	3	0	0.643454	0.865872	0.003502	0.516126	0.494674	0.997815	0.996440	0.001122	0.006788	0.000641
198	f1	f1	F3	-	0.427929	0.427929	5.366025	3	4	3	0	0.499672	0.001351	0.290699	0.000000	0.999197	0.499750	0.002847	0.998351	0.986786	0.000641
199	f1	f1	F3	-	0.677159	0.677159	8.000000	5	1	4	0	0.499493	0.001732	0.499824	0.318424	0.555499	0.936810	0.997153	0.998351	0.986786	0.977514
200	f1	f1	F3	-	0.400362	0.400362	4.707107	3	5	2	0	0.002867	0.499622	0.996247	0.504570	0.009630	0.002136	0.002771	0.998351	0.986786	0.000641
201	f1	f1	F3	-	0.596470	0.596470	7.224745	3	1	6	0	0.350602	0.998198	0.212504	0.341109	0.918670	0.997815	0.499951	0.540709	0.605713	0.499425
202	f1	f1	F3	-	0.644989	0.644989	7.366025	5	2	3	0	0.499252	0.998198	0.786123	0.205485	0.999060	0.997247	0.453526	0.998701	0.511692	0.000609
203	f1	f1	F3	-	0.472370	0.472370	5.366025	3	4	3	0	0.499493	0.001734	0.499407	0.994931	0.999007	0.966117	0.235521	0.001138	0.006788	0.519568
204	f1	f1	F3	-	0.496573	0.496573	5.707107	4	4	2	0	0.002622	0.874788	0.995638	0.163519	0.486437	0.002136	0.453526	0.001055	0.986786	0.999217
205	f1	f1	F3	-	0.495482	0.495482	6.224745	2	2	6	0	0.499672	0.499502	0.499791	0.994931	0.484644	0.469184	0.499951	0.001138	0.006788	0.999217
206	f1	f1	F3	-	0.692050	0.692050	8.000000	5	1	4	0	0.002622	0.998198	0.499934	0.994931	0.486437	0.499914	0.996440	0.998701	0.943720	0.499601
207	f1	f1	F3	-	0.322764	0.322764	4.000000	1	5	4	0	0.002622	0.998198	0.708548	0.514008	0.486437	0.063604	0.445668	0.001138	0.006788	0.000631
208	f1	f1	F3	-	0.549522	0.549522	6.000000	5	4	1	0	0.002622	0.998198	0.003502	0.504736	0.002906	0.002136	0.997153	0.998351	0.986786	0.998831
209	f1	f1	F3	-	0.620514	0.620514	7.000000	4	2	4	0	0.002641	0.620674	0.996247	0.669431	0.560566	0.002136	0.997023	0.998701	0.857980	0.499737
210	f1	f1	F3	-	0.425525	0.425525	5.366025	3	4	3	0	0.499644	0.998198	0.003502	0.504736	0.999007	0.935221	0.265547	0.001138	0.006788	0.041467
211	f1	f1	F3	-	0.377150	0.377150	5.000000	2	4	4	0	0.002622	0.001972	0.004040	0.000000	0.484644	0.997247	0.499951	0.499771	0.303745	0.977514
212	f1	f1	F3	-	0.558171	0.558171	6.618034	3	2	5	0	0.704203	0.499910	0.996407	0.351416	0.999197	0.002433	0.499951	0.041805	0.986786	0.499601
213	f1	f1	F3	-	0.378435	0.378435	5.000000	2	4	4	0	0.002622	0.499502	0.004333	0.504736	0.999007	0.499894	0.267115	0.001138	0.006788	0.999217
214	f1	f1	F3	-	0.586919	0.586919	6.707107	5	3	2	0	0.997315	0.998198	0.996407	0.002372	0.494674	0.935112	0.499636	0.001147	0.943720	0.000609
215	f1	f1	F3	-	0.511507	0.511507	6.000000	3	3	4	0	0.499493	0.996663	0.499934	0.002372	0.484644	0.033373	0.002771	0.998701	0.597899	0.999217
216	f1	f1	F3	-	0.539868	0.539868	6.366025	4	3	3	0	0.499672	0.620674	0.996407	0.001915	0.895311	0.878571	0.001166	0.998390	0.006788	0.499789
217	f1	f1	F3	-	0.771064	0.771064	8.707107	7	1	2	0	0.002513	0.998198	0.996407	0.351416	0.999197	0.878571	0.499636	0.998701	0.986786	0.999217
218	f1	f1	F3	-	0.523138	0.523138	6.618034	3	2	5	0	0.002622	0.499502	0.004040	0.795479	0.495534	0.469132	0.499636	0.954521	0.511692	0.999217
219	f1	f1	F3	-	0.441915	0.441915	5.366025	3	4	3	0	0.002622	0.998198	0.416896	0.002188	0.495534	0.499914	0.997153	0.001138	0.006788	0.998721
220	f1	f1	F3	-	0.565977	0.565977	6.366025	4	3	3	0	0.002641	0.997729	0.702183	0.002372	0.494998	0.002136	0.996650	0.954521	0.986786	0.519754
221	f1	f1	F3	-	0.346195	0.346195	4.366025	2	5	3	0	0.002622	0.997750	0.003502	0.504736	0.495534	0.469184	0.003180	0.001138	0.006788	0.977514
222	f1	f1	F3	-	0.705669	0.705669	8.000000	7	2	1	0	0.293603	0.997729	0.996407	0.804428	0.002906	0.002136	0.997153	0.998701	0.986786	0.976840
223	f1	f1	F3	-	0.414654	0.414654	5.000000	2	4	4	0	0.641119	0.499616	0.996407	0.002453	0.002906	0.499914	0.997153	0.499569	0.006788	0.000609
224	f1	f1	F3	-	0.324017	0.324017	3.000000	3	7	0	0	0.002867	0.998198	0.003502	0.002188	0.009630	0.002136	0.235521	0.998701	0.986786	0.000641
225	f1	f1	F3	-	0.488442	0.488442	6.000000	3	3	4	0	0.002622	0.620674	0.786123	0.504736	0.494674	0.033373	0.499735	0.998122	0.943720	0.000641
226	f1	f1	F3	-	0.453004	0.453004	5.707107	4	4	2	0	0.002622	0.998198	0.995481	0.804428	0.486437	0.935112	0.002771	0.000602	0.303745	0.000641
227	f1	f1	F3	-	0.518114	0.518114	6.224745	2	2	6	0	0.643454	0.499910	0.996407	0.514008	0.495534	0.002136	0.002771	0.540709	0.986786	0.499423
228	f1	f1	F3	-	0.645767	0.645767	7.000000	6	3	1	0	0.996632	0.997729	0.003502	0.002188	0.999197	0.997815	0.997153	0.951116	0.511692	0.000641
229	f1	f1	F3	-	0.406220	0.406220	5.366025	3	4	3	0	0.002622	0.998198	0.499934	0.795479	0.002906	0.966318	0.002771	0.039588	0.254782	0.499601
230	f1	f1	F3	-	0.502610	0.502610	6.000000	3	3	4	0	0.353263	0.499616	0.990588	0.669431	0.999136	0.997815	0.002771	0.001147	0.511692	0.000641
231	f1	f1	F3	-	0.334742	0.334742	4.000000	3	6	1	0	0.849632	0.001734	0.996407	0.002188	0.005236	0.002433	0.002771	0.499590	0.986786	0.000641
232	f1	f1	F3	-	0.617535	0.617535	7.366025	5	2	3	0	0.996705	0.001734	0.499407	0.804428	0.999060	0.469132	0.996650	0.998701	0.409535	0.000000
233	f1	f1	F3	-	0.649382	0.649382	7.000000	6	3	1	0	0.996632	0.998198	0.995638	0.002188	0.999197	0.997815	0.997153	0.499569	0.006788	0.000641
234	f1	f1	F3	-	0.681590	0.681590	7.707107	6	2	2	0	0.996705	0.001734	0.003502	0.347848	0.486437	0.997815	0.997153	0.998701	0.986786	0.999217
235	f1	f1	F3	-	0.455920	0.455920	5.366025	3	4	3	0	0.499493	0.873192	0.996407	0.669431	0.007921	0.002136	0.997153	0.001147	0.511692	0.000631
236	f1	f1	F3	-	0.669419	0.669419	7.000000	6	3	1	0	0.997146	0.997757	0.996407	0.504736	0.009630	0.966397	0.996440	0.001122	0.225342	0.999217
237	f1	f1	F3	-	0.247258	0.247258	3.000000	2	7	1	0	0.002622	0.001734	0.499934	0.002188	0.999197	0.002136	0.003134	0.954206	0.006788	0.000641
238	f1	f1	F3	-	0.796375	0.796375	9.000000	6	0	4	0	0.996705	0.997742	0.996407	0.504570	0.486437	0.499914	0.997153	0.540709	0.986786	0.957330
239	f1	f1	F3	-	0.453462	0.453462	6.000000	0	1	9	0	0.499672	0.499910	0.499934	0.504736	0.010574	0.499914	0.716562	0.499565	0.303963	0.499789
240	f1	f1	F3	-	0.601434	0.601434	7.000000	4	2	4	0	0.499493	0.001716	0.995821	0.504736	0.010574	0.499914	0.997153	0.998390	0.986786	0.519754
241	f1	f1	F3	-	0.649177	0.649177	8.000000	5	1	4	0	0.499493	0.752488	0.996407	0.994931	0.495534	0.499738	0.267115	0.998701	0.986786	0.000577
242	f1	f1	F3	-	0.551276	0.551276	6.000000	5	4	1	0	0.002867	0.998198	0.004040	0.994931	0.999197	0.997815	0.997153	0.001138	0.017635	0.499789
243	f1	f1	F3	-	0.422700	0.422700	4.707107	3	5	2	0	0.002641	0.002118	0.003502	0.994931	0.009630	0.499914	0.728711	0.998122	0.986786	0.000641
244	f1	f1	F3	-	0.369395	0.369395	4.000000	3	6	1	0	0.042597	0.001734	0.996407	0.163519	0.002906	0.002433	0.997153	0.499771	0.986786	0.000641
245	f1	f1	F3	-	0.613112	0.613112	6.707107	5	3	2	0	0.644658	0.499910	0.003596	0.002188	0.999197	0.997815	0.997153	0.000602	0.986786	0.999217
246	f1	f1	F3	-	0.697259	0.697259	7.707107	6	2	2	0	0.994848	0.499616	0.499934	0.994931	0.002906	0.997815	0.996440	0.998701	0.986786	0.000609
247	f1	f1	F3	-	0.629023	0.629023	7.000000	6	3	1	0	0.997315	0.499910	0.996407	0.804428	0.002906	0.002136	0.002771	0.998351	0.986786	0.999217
248	f1	f1	F3	-	0.812056	0.812056	9.000000	8	1	1	0	0.850342	0.997729	0.786123	0.504736	0.999007	0.001947	0.996552	0.998122	0.986786	0.999217
249	f1	f1	F3	-	0.488157	0.488157	6.000000	3	3	4	0	0.996705	0.001734	0.499660	0.002453	0.002906	0.530711	0.997153	0.998701	0.351763	0.499789
250	f1	f1	F3	-	0.598893	0.598893	6.707107	5	3	2	0	0.499672	0.499622	0.003502	0.985066	0.002906	0.997815	0.997153	0.997185	0.006788	0.999217
251	f1	f1	F3	-	0.501051	0.501051	6.224745	2	2	6	0	0.499252	0.499910	0.499791	0.985066	0.486437	0.530711	0.002771	0.499569	0.007784	0.999217
252	f1	f1	F3	-	0.272625	0.272625	3.366025	1	6	3	0	0.002622	0.499502	0.707078	0.504570	0.999007	0.002136	0.002771	0.001138	0.006788	0.000641
253	f1	f1	F3	-	0.652752	0.652752	7.618034	4	1	5	0	0.499644	0.998096	0.995583	0.994931	0.495534	0.530711	0.002771	0.499771	0.511692	0.998792
254	f1	f1	F3	-	0.557340	0.557340	6.000000	5	4	1	0	0.996760	0.998198	0.996407	0.994931	0.002906	0.033373	0.997153	0.041400	0.511692	0.000577
255	f1	f1	F3	-	0.162052	0.162052	2.000000	1	8	1	0	0.002622	0.998198	0.499791	0.002188	0.073044	0.033373	0.002771	0.001138	0.006788	0.000609
256	f1	f1	F3	-	0.496840	0.496840	6.224745	2	2	6	0	0.499672	0.871817	0.499660	0.002453	0.494998	0.002136	0.499636	0.998701	0.599591	0.499737
257	f1	f1	F3	-	0.353347	0.353347	4.366025	2	5	3	0	0.002867	0.997729	0.003502	0.002188	0.494998	0.002136	0.003134	0.540709	0.986786	0.499425
258	f1	f1	F3	-	0.648965	0.648965	7.000000	6	3	1	0	0.499672	0.997757	0.996407	0.002188	0.009630	0.002136	0.997153	0.998701	0.986786	0.999217
259	f1	f1	F3	-	0.731132	0.731132	7.000000	7	3	0	0	0.146403	0.997757	0.996407	0.970205	0.993288	0.988053	0.233107	0.998701	0.986786	0.000609
260	f1	f1	F3	-	0.522227	0.522227	6.000000	3	3	4	0	0.002622	0.499910	0.996407	0.504570	0.495534	0.997815	0.499735	0.001122	0.225342	0.999217
261	f1	f1	F3	-	0.659668	0.659668	7.000000	6	3	1	0	0.994848	0.124014	0.995481	0.994931	0.486437	0.997815	0.996440	0.001138	0.006788	0.998792
262	f1	f1	F3	-	0.500751	0.500751	5.707107	4	4	2	0	0.997315	0.997742	0.994559	0.994931	0.009630	0.002136	0.499951	0.003671	0.007784	0.499789
263	f1	f1	F3	-	0.549940	0.549940	6.366025	4	3	3	0	0.002622	0.499793	0.996407	0.994483	0.999136	0.499864	0.499951	0.001138	0.006788	0.999217
264	f1	f1	F3	-	0.425354	0.425354	5.000000	2	4	4	0	0.997315	0.001732	0.708548	0.994931	0.486437	0.002136	0.002771	0.453314	0.605713	0.000641
265	f1	f1	F3	-	0.532601	0.532601	5.707107	4	4	2	0	0.997315	0.001716	0.996407	0.002188	0.999197	0.499864	0.231058	0.001147	0.597899	0.999217
266	f1	f1	F3	-	0.502676	0.502676	6.366025	4	3	3	0	0.979252	0.997742	0.996407	0.002188	0.002906	0.002136	0.267115	0.998351	0.302404	0.478257
267	f1	f1	F3	-	0.507914	0.507914	6.618034	3	2	5	0	0.996632	0.001734	0.786123	0.993130	0.495534	0.499914	0.002771	0.499771	0.303745	0.499789
268	f1	f1	F3	-	0.342245	0.342245	4.366025	2	5	3	0	0.460171	0.001716	0.995583	0.994931	0.002906	0.002136	0.002771	0.455654	0.006788	0.499789
269	f1	f1	F3	-	0.524264	0.524264	6.366025	4	3	3	0	0.002622	0.001732	0.783203	0.622788	0.993288	0.988053	0.761827	0.499391	0.589228	0.000509
270	f1	f1	F3	-	0.294423	0.294423	3.707107	2	6	2	0	0.002622	0.001734	0.995638	0.351416	0.009130	0.996988	0.233107	0.001218	0.351763	0.000609
271	f1	f1	F3	-	0.562649	0.562649	6.000000	5	4	1	0	0.996632	0.996016	0.004040	0.994931	0.002906	0.033373	0.002771	0.998701	0.597899	0.999217
272	f1	f1	F3	-	0.504321	0.504321	5.707107	4	4	2	0	0.997315	0.998198	0.213013	0.006599	0.009630	0.469184	0.997153	0.001138	0.351763	0.999217
273	f1	f1	F3	-	0.327478	0.327478	4.618034	1	4	5	0	0.002622	0.998198	0.288527	0.514008	0.459670	0.499914	0.003134	0.001138	0.007784	0.499789
274	f1	f1	F3	-	0.252851	0.252851	3.000000	2	7	1	0	0.002867	0.998096	0.995583	0.504736	0.002906	0.002136	0.002771	0.001138	0.017635	0.000641
275	f1	f1	F3	-	0.708375	0.708375	7.707107	6	2	2	0	0.002867	0.998198	0.996407	0.985066	0.999060	0.997815	0.997153	0.499771	0.605713	0.001696
276	f1	f1	F3	-	0.472081	0.472081	5.618034	2	3	5	0	0.002513	0.997750	0.499660	0.544379	0.167411	0.499869	0.997153	0.499771	0.511692	0.000609
277	f1	f1	F3	-	0.569789	0.569789	6.366025	4	3	3	0	0.002622	0.998198	0.996407	0.504736	0.999197	0.499738	0.731750	0.001122	0.006788	0.957330
278	f1	f1	F3	-	0.575146	0.575146	7.000000	4	2	4	0	0.997315	0.998198	0.499934	0.002188	0.009630	0.966397	0.267115	0.499771	0.511692	0.999217
279	f1	f1	F3	-	0.366730	0.366730	4.000000	3	6	1	0	0.499493	0.998198	0.996407	0.161209	0.002906	0.997815	0.002771	0.001138	0.006788	0.000577
280	f1	f1	F3	-	0.691787	0.691787	7.707107	6	2	2	0	0.460171	0.001734	0.995638	0.002188	0.999197	0.997267	0.997153	0.998701	0.986786	0.479034
281	f1	f1	F3	-	0.640901	0.640901	7.000000	4	2	4	0	0.499252	0.995659	0.694904	0.002188	0.999197	0.966397	0.731750	0.998701	0.520354	0.000609
282	f1	f1	F3	-	0.772399	0.772399	9.000000	6	0	4	0	0.499252	0.998198	0.499934	0.994931	0.486437	0.997815	0.761827	0.499590	0.986786	0.999217
283	f1	f1	F3	-	0.492335	0.492335	5.707107	4	4	2	0	0.002867	0.001734	0.499934	0.994483	0.999197	0.997815	0.003134	0.911856	0.511692	0.000641
284	f1	f1	F3	-	0.499898	0.499898	6.000000	3	3	4	0	0.499493	0.001734	0.499407	0.994931	0.002906	0.997815	0.996552	0.499562	0.006788	0.499789
285	f1	f1	F3	-	0.599176	0.599176	6.707107	5	3	2	0	0.997315	0.001734	0.996407	0.002188	0.999197	0.966397	0.499951	0.998122	0.511692	0.018759
286	f1	f1	F3	-	0.789723	0.789723	9.000000	8	1	1	0	0.823611	0.873192	0.996407	0.994931	0.486437	0.997815	0.761517	0.998701	0.943720	0.020895
287	f1	f1	F3	-	0.523281	0.523281	5.707107	4	4	2	0	0.002622	0.001734	0.996407	0.516126	0.492386	0.997815	0.002771	0.998390	0.225342	0.999217
288	f1	f1	F3	-	0.469064	0.469064	5.000000	4	5	1	0	0.002622	0.001734	0.996407	0.002453	0.999007	0.469184	0.233107	0.998701	0.986786	0.000641
289	f1	f1	F3	-	0.598474	0.598474	6.707107	5	3	2	0	0.997315	0.499910	0.499407	0.002188	0.999197	0.997815	0.002806	0.998701	0.986786	0.000609
290	f1	f1	F3	-	0.445014	0.445014	5.366025	3	4	3	0	0.002622	0.001716	0.499934	0.002188	0.999197	0.002136	0.499636	0.499771	0.943720	0.999217
291	f1	f1	F3	-	0.695143	0.695143	7.707107	6	2	2	0	0.997315	0.499910	0.996407	0.002188	0.999197	0.966397	0.003134	0.998351	0.511692	0.976840
292	f1	f1	F3	-	0.505974	0.505974	5.707107	4	4	2	0	0.002622	0.001734	0.995583	0.994931	0.024417	0.076330	0.499951	0.998351	0.986786	0.479034
293	f1	f1	F3	-	0.636550	0.636550	7.000000	6	3	1	0	0.997315	0.377175	0.995583	0.002188	0.009630	0.002136	0.997153	0.998701	0.986786	0.998831
294	f1	f1	F3	-	0.389157	0.389157	5.000000	2	4	4	0	0.499493	0.001734	0.576405	0.002188	0.999007	0.499738	0.002771	0.001138	0.351763	0.957330
295	f1	f1	F3	-	0.582451	0.582451	6.707107	5	3	2	0	0.002513	0.997750	0.910831	0.324607	0.002906	0.996382	0.233107	0.998701	0.857980	0.499737
296	f1	f1	F3	-	0.627336	0.627336	7.000000	4	2	4	0	0.637059	0.998198	0.995583	0.545199	0.993288	0.976409	0.499864	0.001147	0.605713	0.020895
297	f1	f1	F3	-	0.658446	0.658446	7.366025	5	2	3	0	0.499252	0.998198	0.992071	0.545199	0.042349	0.023049	0.499636	0.998701	0.986786	0.999217
298	f1	f1	F3	-	0.420731	0.420731	4.707107	3	5	2	0	0.996632	0.621590	0.003502	0.545199	0.993288	0.042154	0.996440	0.001138	0.006788	0.000577
299	f1	f1	F3	-	0.243047	0.243047	3.618034	0	5	5	0	0.002622	0.377175	0.499791	0.002188	0.007921	0.002136	0.235521	0.499771	0.303745	0.499601
300	f1	f1	F3	-	0.499274	0.499274	6.000000	3	3	4	0	0.499672	0.997742	0.499660	0.002188	0.459670	0.006900	0.499951	0.998701	0.986786	0.041467
301-145	238	238	F4	-	0.947475	0.947475	10.000000	9	0	1	0	0.997150	0.998028	0.996497	0.996407	0.998748	0.996310	0.997229	0.543186	0.992864	0.958327
302-28	282	238	C1	-	0.951488	0.951488	10.000000	10	0	0	0	0.996149	0.998147	0.786796	0.996856	0.998660	0.996810	0.775286	0.994238	0.992522	0.979416
