Id	P1	P2	Cycle	Group	MS	Weight	UC	No.(+/+)	No.(-/-)	No.(+/-)	No.(?)	QTL1	QTL2	QTL3	QTL4	QTL5	QTL6	QTL7	QTL8	QTL9	QTL10
33	f1	f1	F3	G2	0.371641	0.371641	4.366025	2	5	3	0	0.704203	0.001734	0.995821	0.504736	0.002906	0.002136	0.997153	0.001147	0.006788	0.499789
34	f1	f1	F3	G2	0.484346	0.484346	5.822876	1	2	7	0	0.499493	0.614377	0.708548	0.994931	0.486437	0.033373	0.499951	0.499771	0.006788	0.499789
35	f1	f1	F3	G2	0.565916	0.565916	6.366025	4	3	3	0	0.147600	0.499616	0.996407	0.002188	0.999197	0.525784	0.002771	0.499590	0.986786	0.999217
36	f1	f1	F3	-	0.451096	0.451096	5.366025	3	4	3	0	0.499672	0.499622	0.003502	0.994931	0.002906	0.002136	0.997153	0.998701	0.511692	0.000641
37	f1	f1	F3	-	0.415560	0.415560	5.366025	3	4	3	0	0.499672	0.873192	0.773852	0.994931	0.002906	0.002136	0.003134	0.499562	0.006788	0.499425
38	f1	f1	F3	-	0.500260	0.500260	5.707107	4	4	2	0	0.002622	0.001734	0.499660	0.994931	0.999060	0.997815	0.499636	0.001138	0.006788	0.999217
39	f1	f1	F3	-	0.585788	0.585788	6.000000	6	4	0	0	0.002867	0.873192	0.996407	0.994931	0.003717	0.997815	0.002771	0.000602	0.986786	0.998792
40	f1	f1	F3	G4	0.450183	0.450183	5.366025	3	4	3	0	0.997315	0.998198	0.995481	0.504683	0.495534	0.002136	0.499951	0.001138	0.006788	0.000609
41	f1	f1	F3	G5	0.413490	0.413490	4.707107	3	5	2	0	0.994848	0.116386	0.004080	0.002188	0.007921	0.997815	0.001166	0.499590	0.511692	0.999217
42	f1	f1	F3	G5	0.795341	0.795341	8.707107	7	1	2	0	0.499644	0.997757	0.995481	0.994931	0.002906	0.997815	0.997153	0.998701	0.511692	0.957330
43	f1	f1	F3	-	0.087196	0.087196	1.707107	0	8	2	0	0.002513	0.001732	0.004040	0.002188	0.002906	0.003479	0.003134	0.499569	0.351763	0.000641
44	f1	f1	F3	-	0.545154	0.545154	6.822876	2	1	7	0	0.850342	0.621590	0.499660	0.504683	0.009630	0.499895	0.499735	0.954521	0.511692	0.499789
45	f1	f1	F3	-	0.745872	0.745872	8.000000	7	2	1	0	0.997315	0.998198	0.996407	0.985066	0.495534	0.997247	0.003180	0.998351	0.986786	0.000631
46	f1	f1	F3	G6	0.658335	0.658335	7.366025	5	2	3	0	0.146403	0.998198	0.996407	0.002188	0.999197	0.997815	0.499864	0.499771	0.943720	0.499789
47	f1	f1	F3	G6	0.547606	0.547606	6.224745	2	2	6	0	0.968555	0.499504	0.499762	0.002170	0.167411	0.499715	0.997045	0.504042	0.605713	0.732142
48	f1	f1	F3	G6	0.299284	0.299284	4.000000	1	5	4	0	0.813340	0.499616	0.003502	0.622788	0.024417	0.517706	0.002771	0.001122	0.007784	0.499789
49	f1	f1	F3	-	0.735753	0.735753	8.618034	5	0	5	0	0.499672	0.499045	0.995583	0.341109	0.999197	0.997815	0.996650	0.541881	0.986786	0.499789
50	f1	f1	F3	-	0.603243	0.603243	6.707107	5	3	2	0	0.997315	0.998096	0.996407	0.002188	0.009630	0.002136	0.499951	0.540709	0.986786	0.999217
51	f1	f1	F3	-	0.567325	0.567325	6.618034	3	2	5	0	0.499493	0.499502	0.499934	0.708031	0.009630	0.469184	0.002771	0.998701	0.986786	0.999217
52	f1	f1	F3	-	0.665675	0.665675	7.366025	5	2	3	0	0.002867	0.619795	0.996407	0.994931	0.559590	0.499914	0.997153	0.998701	0.986786	0.000609
53	f1	f1	F3	-	0.493601	0.493601	5.707107	4	4	2	0	0.996705	0.001734	0.499934	0.002453	0.999197	0.966397	0.002771	0.954521	0.511692	0.000609
54	f1	f1	F3	-	0.376866	0.376866	4.366025	2	5	3	0	0.997315	0.001734	0.212504	0.708031	0.495534	0.003479	0.996440	0.001218	0.351763	0.000641
55	f1	f1	F3	-	0.517787	0.517787	6.366025	4	3	3	0	0.997315	0.375423	0.003502	0.994931	0.009630	0.997815	0.996438	0.499771	0.302404	0.000641
56	f1	f1	F3	-	0.438581	0.438581	5.366025	3	4	3	0	0.499493	0.997757	0.499934	0.994931	0.009630	0.033373	0.997153	0.001138	0.351763	0.000641
57	f1	f1	F3	-	0.363910	0.363910	4.000000	3	6	1	0	0.146403	0.002118	0.004080	0.002143	0.002906	0.997815	0.996440	0.499771	0.986786	0.000641
58	f1	f1	F3	-	0.543643	0.543643	6.366025	4	3	3	0	0.002513	0.001734	0.995481	0.504736	0.913335	0.002136	0.997153	0.499771	0.520354	0.999217
59	f1	f1	F3	-	0.515856	0.515856	5.707107	4	4	2	0	0.002622	0.998198	0.996407	0.994931	0.002906	0.064220	0.002771	0.499771	0.597899	0.998831
60	f1	f1	F3	-	0.657147	0.657147	7.224745	3	1	6	0	0.644658	0.620674	0.003502	0.705127	0.495534	0.530711	0.997153	0.998701	0.597899	0.977514
61	f1	f1	F3	-	0.297268	0.297268	3.707107	2	6	2	0	0.002622	0.997757	0.004040	0.002188	0.002906	0.517706	0.499951	0.001147	0.943720	0.000641
62	f1	f1	F3	-	0.567739	0.567739	6.000000	5	4	1	0	0.002622	0.001716	0.003502	0.002188	0.999197	0.997815	0.728711	0.998701	0.943720	0.999217
63	f1	f1	F3	-	0.425453	0.425453	5.618034	2	3	5	0	0.002622	0.499910	0.499934	0.504570	0.493065	0.002136	0.997153	0.001138	0.254782	0.999217
64	f1	f1	F3	-	0.601095	0.601095	6.618034	3	2	5	0	0.499493	0.747967	0.499934	0.509711	0.999197	0.997815	0.531124	0.001147	0.225342	0.999217
65	f1	f1	F3	-	0.716748	0.716748	8.000000	5	1	4	0	0.995162	0.998198	0.996407	0.793496	0.009630	0.997815	0.730817	0.541881	0.605713	0.498359
66	f1	f1	F3	-	0.572631	0.572631	7.000000	4	2	4	0	0.996705	0.499793	0.996407	0.002188	0.999197	0.499914	0.997153	0.001138	0.254782	0.479034
67	f1	f1	F3	-	0.530585	0.530585	6.366025	4	3	3	0	0.996632	0.998198	0.499561	0.002453	0.010574	0.997815	0.996650	0.499590	0.303745	0.000631
68	f1	f1	F3	-	0.490917	0.490917	6.224745	2	2	6	0	0.499583	0.375423	0.420355	0.002188	0.494998	0.002136	0.996438	0.998701	0.599591	0.519754
69	f1	f1	F3	-	0.478744	0.478744	6.224745	2	2	6	0	0.703649	0.499502	0.286814	0.994931	0.002906	0.499738	0.996650	0.001055	0.302404	0.499789
70	f1	f1	F3	-	0.435456	0.435456	5.366025	3	4	3	0	0.499493	0.752488	0.003502	0.006599	0.494998	0.002136	0.996440	0.998701	0.599591	0.000609
71	f1	f1	F3	-	0.648769	0.648769	7.000000	6	3	1	0	0.997315	0.997742	0.003502	0.994931	0.009630	0.002136	0.997153	0.998701	0.986786	0.499789
72	f1	f1	F3	-	0.421029	0.421029	4.707107	3	5	2	0	0.499493	0.998198	0.212504	0.504736	0.009630	0.002136	0.997153	0.001138	0.007784	0.977514
73	f1	f1	F3	-	0.449383	0.449383	5.366025	3	4	3	0	0.002622	0.499502	0.213013	0.002188	0.999197	0.002136	0.997153	0.954521	0.303745	0.519754
74	f1	f1	F3	-	0.316008	0.316008	3.707107	2	6	2	0	0.997315	0.001734	0.003502	0.504736	0.009630	0.033373	0.002771	0.998701	0.607674	0.000641
75	f1	f1	F3	-	0.397037	0.397037	4.707107	3	5	2	0	0.002641	0.499616	0.003502	0.002188	0.999197	0.499738	0.997153	0.001218	0.007784	0.957330
76	f1	f1	F3	-	0.561839	0.561839	6.366025	4	3	3	0	0.644658	0.001972	0.996407	0.002188	0.999197	0.966397	0.995649	0.499590	0.511692	0.000641
77	f1	f1	F3	-	0.379215	0.379215	5.000000	2	4	4	0	0.499672	0.998198	0.499934	0.002188	0.007921	0.002136	0.761517	0.499590	0.520354	0.000641
78	f1	f1	F3	-	0.402420	0.402420	4.707107	3	5	2	0	0.997315	0.001941	0.003502	0.504570	0.494998	0.032962	0.003134	0.998351	0.986786	0.000641
79	f1	f1	F3	-	0.667860	0.667860	7.366025	5	2	3	0	0.997315	0.621590	0.708548	0.002188	0.007921	0.469184	0.996440	0.954521	0.943720	0.977174
80	f1	f1	F3	-	0.609406	0.609406	7.000000	4	2	4	0	0.002622	0.499616	0.995481	0.994931	0.002906	0.997815	0.499735	0.503834	0.597899	0.999217
81	f1	f1	F3	-	0.437982	0.437982	5.618034	2	3	5	0	0.002641	0.376476	0.003502	0.504736	0.009630	0.499356	0.499636	0.998701	0.986786	0.498359
82	f1	f1	F3	-	0.614219	0.614219	7.000000	4	2	4	0	0.996632	0.499502	0.996407	0.504570	0.003717	0.997815	0.996650	0.041400	0.605713	0.499789
83	f1	f1	F3	-	0.589359	0.589359	6.707107	5	3	2	0	0.996632	0.001734	0.996407	0.504736	0.002906	0.002136	0.997153	0.453314	0.986786	0.951789
84	f1	f1	F3	-	0.127408	0.127408	2.000000	1	8	1	0	0.499583	0.752488	0.003502	0.002188	0.002906	0.002136	0.002771	0.001138	0.006788	0.000577
85	f1	f1	F3	-	0.406964	0.406964	5.000000	2	4	4	0	0.350602	0.499502	0.499407	0.002453	0.999197	0.002136	0.730817	0.001218	0.006788	0.977514
86	f1	f1	F3	-	0.550065	0.550065	6.000000	5	4	1	0	0.996632	0.998198	0.499934	0.002188	0.999197	0.997815	0.997153	0.001138	0.007784	0.000609
87	f1	f1	F3	-	0.305570	0.305570	3.707107	2	6	2	0	0.997315	0.001734	0.499791	0.994931	0.009630	0.002136	0.499951	0.042997	0.006788	0.000425
88	f1	f1	F3	-	0.257941	0.257941	3.618034	0	5	5	0	0.147600	0.122466	0.499762	0.002372	0.564716	0.469184	0.266333	0.499562	0.006788	0.000633
89	f1	f1	F3	-	0.214107	0.214107	2.707107	1	7	2	0	0.002622	0.499622	0.996407	0.002188	0.128498	0.002136	0.499951	0.001218	0.007784	0.000641
90	f1	f1	F3	-	0.459907	0.459907	5.366025	3	4	3	0	0.002622	0.001734	0.575916	0.994931	0.999197	0.997267	0.499735	0.001122	0.006788	0.519754
91	f1	f1	F3	-	0.614699	0.614699	7.000000	4	2	4	0	0.968555	0.499504	0.640964	0.969092	0.928359	0.499715	0.995965	0.021168	0.511692	0.111973
92	f1	f1	F3	-	0.415629	0.415629	5.000000	2	4	4	0	0.002622	0.499910	0.708548	0.002188	0.999197	0.469184	0.467497	0.001138	0.006788	0.999217
93	f1	f1	F3	-	0.609964	0.609964	6.707107	5	3	2	0	0.996632	0.618781	0.499791	0.994931	0.999060	0.002136	0.002771	0.998122	0.986786	0.000631
94	f1	f1	F3	-	0.312755	0.312755	4.000000	1	5	4	0	0.002622	0.499910	0.003580	0.629046	0.563132	0.002136	0.003134	0.001147	0.904380	0.518458
