Id	Cycle	Group	MS	All(a)	All(b)	QTL1(a)	QTL1(b)	QTL2(a)	QTL2(b)	QTL3(a)	QTL3(b)	QTL4(a)	QTL4(b)	QTL5(a)	QTL5(b)	QTL6(a)	QTL6(b)	QTL7(a)	QTL7(b)	QTL8(a)	QTL8(b)	QTL9(a)	QTL9(b)	QTL10(a)	QTL10(b)
99	F3	-	0.609787	0.757638	0.241021	0.845969	0.145356	0.001972	0.997742	0.996407	0.003502	0.291407	0.708031	0.999197	0.000735	0.997815	0.002136	0.996440	0.003134	0.954206	0.042997	0.993180	0.006788	0.499789	0.499789
100	F3	-	0.262477	0.369442	0.629203	0.146403	0.848356	0.499502	0.499502	0.003502	0.996407	0.997763	0.002188	0.009130	0.986720	0.002433	0.997247	0.499951	0.499951	0.541922	0.455654	0.993180	0.006788	0.000633	0.999217
101	F3	-	0.574901	0.424633	0.574406	0.002622	0.997198	0.499622	0.499622	0.003502	0.996407	0.647451	0.351416	0.996757	0.000000	0.997815	0.002136	0.499435	0.499435	0.043512	0.954521	0.056011	0.943720	0.499601	0.499601
102	F3	-	0.474250	0.763419	0.234683	0.695202	0.293674	0.997757	0.001716	0.499934	0.499934	0.004961	0.994931	0.999197	0.000735	0.997815	0.002136	0.997153	0.002771	0.998388	0.001147	0.488223	0.511692	0.955557	0.038094
103	F3	-	0.372915	0.554901	0.443221	0.146403	0.848356	0.873192	0.122466	0.996407	0.003502	0.006171	0.993130	0.002906	0.996926	0.499738	0.499738	0.990163	0.009329	0.041530	0.951340	0.993180	0.006788	0.999320	0.000641
104	F3	-	0.342474	0.516435	0.482758	0.499493	0.499493	0.375423	0.620674	0.785765	0.212504	0.997763	0.002188	0.009630	0.990050	0.002136	0.997815	0.002771	0.997153	0.998399	0.001122	0.993180	0.006788	0.499789	0.499789
105	F3	-	0.389174	0.241510	0.757390	0.147600	0.849374	0.374626	0.619795	0.004040	0.995583	0.835883	0.163519	0.002906	0.996926	0.002433	0.997247	0.003180	0.996438	0.031942	0.967588	0.013168	0.986786	0.999320	0.000641
106	F3	-	0.626843	0.437242	0.562146	0.353263	0.644658	0.001732	0.997750	0.003502	0.996407	0.004777	0.994483	0.999007	0.000759	0.966397	0.033373	0.499735	0.499735	0.151045	0.847975	0.393910	0.605713	0.999052	0.000609
107	F3	-	0.512028	0.418982	0.580139	0.002622	0.997198	0.499622	0.499622	0.996407	0.003502	0.004961	0.994931	0.127125	0.868089	0.530711	0.469184	0.997153	0.002771	0.382839	0.615538	0.647979	0.351763	0.000398	0.998792
108	F3	-	0.662021	0.734116	0.263948	0.996632	0.002754	0.997742	0.001972	0.996407	0.003502	0.639246	0.347848	0.999060	0.000790	0.997815	0.002136	0.003180	0.996438	0.718582	0.277040	0.991858	0.007784	0.000633	0.999217
109	F3	-	0.557565	0.442335	0.557454	0.002622	0.997198	0.001734	0.998198	0.996407	0.003502	0.997763	0.002188	0.999197	0.000735	0.002136	0.997815	0.997153	0.002771	0.031942	0.967588	0.393910	0.605713	0.000483	0.998831
110	F3	-	0.714071	0.490141	0.508912	0.997315	0.002580	0.001716	0.997757	0.995583	0.004040	0.369136	0.629046	0.999197	0.000735	0.032962	0.966117	0.108787	0.889004	0.382839	0.615538	0.993180	0.006788	0.020689	0.977514
111	F3	-	0.443802	0.652058	0.347210	0.995162	0.002471	0.998198	0.001734	0.499791	0.499791	0.004961	0.994931	0.486437	0.513209	0.499914	0.499914	0.499951	0.499951	0.840723	0.155711	0.696121	0.303745	0.999320	0.000641
112	F3	-	0.406949	0.492073	0.506564	0.995162	0.002471	0.499502	0.499502	0.499660	0.499660	0.004961	0.994931	0.002906	0.996926	0.002433	0.997247	0.996650	0.002847	0.906966	0.084625	0.013168	0.986786	0.999320	0.000641
113	F3	-	0.517033	0.578978	0.418697	0.499493	0.499493	0.874788	0.124014	0.996407	0.003502	0.377758	0.610334	0.494998	0.504547	0.499738	0.499738	0.499735	0.499735	0.952237	0.041805	0.095201	0.904380	0.499425	0.499425
114	F3	-	0.462364	0.736228	0.263321	0.997315	0.002580	0.375423	0.620674	0.996407	0.003502	0.997763	0.002188	0.999197	0.000735	0.002136	0.997815	0.002771	0.997153	0.998769	0.001138	0.993180	0.006788	0.999320	0.000641
115	F3	-	0.477978	0.682411	0.315432	0.849632	0.147400	0.873192	0.122466	0.995481	0.004080	0.195134	0.803019	0.495534	0.504119	0.466201	0.525784	0.002771	0.997153	0.954206	0.042997	0.993180	0.006788	0.998779	0.000509
116	F3	-	0.552253	0.785308	0.212036	0.997315	0.002580	0.499910	0.499910	0.694904	0.281422	0.674383	0.324607	0.999060	0.000790	0.997815	0.002136	0.997153	0.002771	0.499569	0.499569	0.993180	0.006788	0.499789	0.499789
117	F3	-	0.632814	0.663994	0.334362	0.997315	0.002580	0.499502	0.499502	0.995583	0.004040	0.834256	0.161209	0.999007	0.000759	0.499914	0.499914	0.263679	0.728711	0.456156	0.541881	0.095201	0.904380	0.999320	0.000641
118	F3	-	0.638994	0.542256	0.456669	0.996705	0.002849	0.499502	0.499502	0.411651	0.580647	0.004777	0.994483	0.999136	0.000749	0.499914	0.499914	0.997153	0.002771	0.001229	0.998351	0.013168	0.986786	0.999320	0.000641
119	F3	-	0.158800	0.514397	0.484738	0.351713	0.643454	0.997742	0.001972	0.004040	0.995583	0.291407	0.708031	0.009630	0.990050	0.002136	0.997815	0.996650	0.002847	0.997679	0.001055	0.993180	0.006788	0.499789	0.499789
120	F3	-	0.583315	0.613964	0.385563	0.996632	0.002754	0.377175	0.621590	0.995821	0.003596	0.997763	0.002188	0.495534	0.504119	0.499738	0.499738	0.763344	0.235521	0.001147	0.998701	0.013168	0.986786	0.999320	0.000641
121	F3	-	0.625265	0.458047	0.541343	0.499493	0.499493	0.499910	0.499910	0.499660	0.499660	0.647451	0.351416	0.918670	0.079450	0.499914	0.499914	0.003180	0.996438	0.998388	0.001147	0.013168	0.986786	0.000633	0.999217
122	F3	-	0.463141	0.504101	0.495336	0.002622	0.997198	0.998198	0.001734	0.499934	0.499934	0.194920	0.804428	0.400418	0.598785	0.935221	0.064220	0.499951	0.499951	0.043512	0.954521	0.488223	0.511692	0.978009	0.020895
123	F3	-	0.653208	0.268128	0.730827	0.499672	0.499672	0.001734	0.998198	0.708548	0.290699	0.494980	0.504736	0.400418	0.598785	0.002136	0.997815	0.003180	0.996438	0.455080	0.540709	0.095201	0.904380	0.020334	0.976840
124	F3	-	0.509467	0.502435	0.496570	0.997315	0.002580	0.499622	0.499622	0.499660	0.499660	0.494980	0.504736	0.563331	0.433416	0.002136	0.997815	0.499735	0.499735	0.455080	0.540709	0.013168	0.986786	0.999320	0.000641
125	F3	-	0.655658	0.268253	0.730031	0.499672	0.499672	0.499502	0.499502	0.996407	0.003502	0.004961	0.994931	0.127125	0.868089	0.002136	0.997815	0.002771	0.997153	0.041400	0.951116	0.488223	0.511692	0.020334	0.976840
126	F3	-	0.350979	0.550418	0.449299	0.499252	0.499252	0.997757	0.001716	0.996407	0.003502	0.004961	0.994931	0.009630	0.990050	0.002136	0.997815	0.002771	0.997153	0.998769	0.001138	0.993180	0.006788	0.999320	0.000641
127	F3	-	0.465989	0.422934	0.575740	0.499120	0.499120	0.499504	0.499504	0.155006	0.844135	0.531549	0.463843	0.294969	0.703350	0.499715	0.499715	0.499855	0.499855	0.494442	0.504042	0.488223	0.511692	0.266958	0.732142
128	F3	-	0.356356	0.259732	0.739894	0.002622	0.997198	0.998198	0.001734	0.003321	0.995638	0.004961	0.994931	0.073044	0.926211	0.001947	0.997267	0.499864	0.499864	0.001147	0.998701	0.013168	0.986786	0.999052	0.000609
129	F3	-	0.500326	0.398854	0.600885	0.002622	0.997198	0.001732	0.997750	0.996407	0.003502	0.494980	0.504736	0.464076	0.534966	0.033373	0.966397	0.002771	0.997153	0.998769	0.001138	0.993180	0.006788	0.000633	0.999217
130	F3	-	0.550992	0.651150	0.348029	0.994848	0.001568	0.499502	0.499502	0.995481	0.004080	0.494980	0.504736	0.024417	0.975139	0.997815	0.002136	0.997153	0.002771	0.998388	0.001147	0.488223	0.511692	0.020689	0.977514
131	F3	-	0.653214	0.544021	0.455351	0.499252	0.499252	0.001734	0.998198	0.995583	0.004040	0.004961	0.994931	0.495534	0.504119	0.997815	0.002136	0.499636	0.499636	0.954521	0.043512	0.013168	0.986786	0.978009	0.020895
132	F3	-	0.663207	0.167588	0.831703	0.146403	0.848356	0.001734	0.998198	0.995821	0.003596	0.004961	0.994931	0.009630	0.990050	0.002433	0.997247	0.499951	0.499951	0.001147	0.998701	0.013168	0.986786	0.000633	0.999217
133	F3	-	0.481917	0.616127	0.383121	0.997315	0.002580	0.499910	0.499910	0.003502	0.996407	0.997763	0.002188	0.494998	0.504547	0.997815	0.002136	0.997153	0.002771	0.001147	0.998701	0.693142	0.302404	0.478528	0.519568
134	F3	-	0.620983	0.634529	0.364498	0.994848	0.001568	0.499910	0.499910	0.786123	0.213013	0.494980	0.504736	0.999197	0.000735	0.499914	0.499914	0.467497	0.531124	0.954206	0.042997	0.647979	0.351763	0.000633	0.999217
135	F3	-	0.255065	0.551905	0.447685	0.996632	0.002754	0.001734	0.998198	0.003502	0.996407	0.494934	0.504570	0.002906	0.996926	0.032962	0.966117	0.995649	0.003441	0.998769	0.001138	0.993180	0.006788	0.998779	0.000509
136	F3	-	0.610058	0.587380	0.410811	0.002622	0.997198	0.743619	0.246366	0.996407	0.003502	0.997763	0.002188	0.999197	0.000735	0.997815	0.002136	0.499636	0.499636	0.041805	0.952237	0.095201	0.904380	0.499737	0.499737
137	F3	-	0.449808	0.549801	0.449920	0.499493	0.499493	0.001972	0.997742	0.996407	0.003502	0.006171	0.993130	0.002906	0.996926	0.499895	0.499895	0.499951	0.499951	0.998769	0.001138	0.993180	0.006788	0.999262	0.000631
138	F3	-	0.360799	0.538704	0.460970	0.002622	0.997198	0.499622	0.499622	0.003502	0.996407	0.997763	0.002188	0.494998	0.504547	0.997267	0.001947	0.997153	0.002771	0.001147	0.998701	0.393910	0.605713	0.999052	0.000609
139	F3	-	0.542957	0.541276	0.458337	0.002867	0.996452	0.001734	0.998198	0.422266	0.576405	0.494934	0.504570	0.999007	0.000759	0.997815	0.002136	0.002771	0.997153	0.998399	0.001122	0.993180	0.006788	0.499789	0.499789
140	F3	-	0.401239	0.598848	0.400976	0.996632	0.002754	0.998198	0.001734	0.003502	0.996407	0.004961	0.994931	0.002906	0.996926	0.997815	0.002136	0.997153	0.002771	0.499771	0.499771	0.488223	0.511692	0.999320	0.000641
141	F3	-	0.494737	0.334021	0.664568	0.641119	0.350602	0.001734	0.998198	0.499660	0.499660	0.494980	0.504736	0.002906	0.996926	0.002433	0.997247	0.003134	0.996440	0.499771	0.499771	0.696121	0.303745	0.498359	0.498359
142	F3	-	0.455925	0.551005	0.447355	0.146403	0.848356	0.001716	0.997757	0.421134	0.570490	0.997763	0.002188	0.999197	0.000735	0.469079	0.530538	0.997153	0.002771	0.998388	0.001147	0.478579	0.520354	0.000633	0.999217
143	F3	-	0.486364	0.386044	0.613490	0.850342	0.148280	0.998198	0.001734	0.003502	0.996407	0.485083	0.514008	0.009630	0.990050	0.499914	0.499914	0.499951	0.499951	0.001229	0.998351	0.013168	0.986786	0.499423	0.499423
144	F3	-	0.593320	0.504349	0.494791	0.996632	0.002754	0.998198	0.001734	0.499791	0.499791	0.485083	0.514008	0.495534	0.504119	0.499738	0.499738	0.002847	0.996650	0.455080	0.540709	0.110801	0.888616	0.499789	0.499789
145	F3	-	0.535614	0.720905	0.278535	0.996705	0.002849	0.001734	0.998198	0.289989	0.707190	0.997177	0.002453	0.999197	0.000735	0.997815	0.002136	0.731750	0.267115	0.998769	0.001138	0.696121	0.303745	0.499789	0.499789
146	F3	-	0.477010	0.515586	0.484120	0.002622	0.997198	0.499616	0.499616	0.499934	0.499934	0.997763	0.002188	0.494998	0.504547	0.966397	0.033373	0.997153	0.002771	0.001090	0.998390	0.695656	0.303963	0.000633	0.999217
147	F3	-	0.653619	0.381123	0.618116	0.146403	0.848356	0.124014	0.874788	0.995583	0.004040	0.997763	0.002188	0.999197	0.000735	0.033373	0.966397	0.499951	0.499951	0.001147	0.998701	0.013168	0.986786	0.000633	0.999217
148	F3	-	0.351193	0.334594	0.665035	0.002622	0.997198	0.499616	0.499616	0.422266	0.576405	0.004961	0.994931	0.002906	0.996926	0.002136	0.997815	0.499864	0.499864	0.998769	0.001138	0.912322	0.087623	0.000483	0.998831
149	F3	-	0.521864	0.511073	0.486956	0.002641	0.996684	0.001734	0.998198	0.707078	0.288527	0.452821	0.544379	0.495534	0.504119	0.966117	0.032962	0.997153	0.002771	0.453714	0.537265	0.992476	0.007327	0.041463	0.957330
150	F3	-	0.694754	0.299309	0.700367	0.499672	0.499672	0.499570	0.499570	0.003502	0.996407	0.004961	0.994931	0.999007	0.000759	0.469141	0.530613	0.003134	0.996440	0.001147	0.998701	0.013168	0.986786	0.499789	0.499789
151	F3	-	0.521242	0.319973	0.679090	0.499252	0.499252	0.001716	0.997757	0.212504	0.785765	0.997763	0.002188	0.494998	0.504547	0.002136	0.997815	0.499636	0.499636	0.001147	0.998701	0.013168	0.986786	0.477409	0.518458
152	F3	-	0.570885	0.425927	0.573562	0.499493	0.499493	0.874788	0.124014	0.499407	0.499407	0.004961	0.994931	0.486437	0.513209	0.499914	0.499914	0.499951	0.499951	0.499771	0.499771	0.393910	0.605713	0.000633	0.999217
153	F3	-	0.621600	0.576849	0.422806	0.997315	0.002580	0.377175	0.621590	0.995583	0.004040	0.004961	0.994931	0.002906	0.996926	0.997815	0.002136	0.499735	0.499735	0.499771	0.499771	0.393910	0.605713	0.999320	0.000641
154	F3	-	0.343372	0.555907	0.443048	0.499493	0.499493	0.001732	0.997750	0.996407	0.003502	0.288075	0.705127	0.002906	0.996926	0.002132	0.997773	0.997153	0.002771	0.998415	0.001218	0.773825	0.225342	0.998931	0.000577
155	F3	-	0.674958	0.523611	0.475648	0.002867	0.996452	0.001734	0.998198	0.996407	0.003502	0.997763	0.002188	0.999197	0.000735	0.997267	0.001947	0.730817	0.265547	0.001147	0.998701	0.488223	0.511692	0.020689	0.977514
156	F3	-	0.709055	0.688761	0.310920	0.997141	0.002624	0.001734	0.998198	0.996407	0.003502	0.004961	0.994931	0.999007	0.000759	0.997815	0.002136	0.499636	0.499636	0.997679	0.001055	0.393910	0.605713	0.999320	0.000641
157	F3	-	0.505143	0.586199	0.413393	0.002867	0.996452	0.997750	0.001732	0.996407	0.003502	0.494980	0.504736	0.492386	0.507234	0.966397	0.033373	0.002847	0.996650	0.499771	0.499771	0.409535	0.589875	0.999052	0.000609
158	F3	-	0.445727	0.590546	0.408247	0.997146	0.002634	0.001734	0.998198	0.210753	0.783203	0.997763	0.002188	0.009630	0.990050	0.966117	0.032962	0.730817	0.265547	0.998388	0.001147	0.992476	0.007327	0.000633	0.999217
159	F3	-	0.691253	0.592699	0.406269	0.996632	0.002754	0.001734	0.998198	0.995583	0.004040	0.995868	0.001915	0.493065	0.502671	0.936810	0.062788	0.997153	0.002771	0.001229	0.998351	0.488223	0.511692	0.020689	0.977514
160	F3	-	0.446550	0.597266	0.397989	0.293603	0.703089	0.997757	0.001716	0.499660	0.499660	0.996657	0.002208	0.562786	0.432372	0.878571	0.113891	0.256870	0.716562	0.001147	0.998701	0.488223	0.511692	0.997382	0.000000
161	F3	-	0.496362	0.562252	0.437153	0.353263	0.644658	0.997729	0.001941	0.996407	0.003502	0.835883	0.163519	0.009630	0.990050	0.935221	0.064220	0.499636	0.499636	0.001090	0.998390	0.993180	0.006788	0.000483	0.998831
162	F3	-	0.319716	0.283005	0.716246	0.002622	0.997198	0.998198	0.001734	0.003596	0.995821	0.997674	0.002212	0.007921	0.991607	0.002433	0.997247	0.761827	0.233821	0.001147	0.998701	0.013168	0.986786	0.041463	0.957330
163	F3	-	0.549927	0.646963	0.352021	0.997315	0.002580	0.997742	0.001972	0.996407	0.003502	0.992442	0.000000	0.495534	0.504119	0.499815	0.499815	0.002771	0.997153	0.499590	0.499590	0.488223	0.511692	0.499789	0.499789
164	F3	-	0.619970	0.677009	0.321496	0.997315	0.002580	0.998096	0.001759	0.995583	0.004040	0.830978	0.159476	0.999197	0.000735	0.499671	0.499671	0.002847	0.996650	0.954521	0.043512	0.013168	0.986786	0.478715	0.519754
165	F3	-	0.576923	0.220613	0.778030	0.499493	0.499493	0.499793	0.499793	0.003502	0.996407	0.197933	0.795479	0.484644	0.511426	0.004252	0.995638	0.002771	0.997153	0.001147	0.998701	0.013168	0.986786	0.499425	0.499425
166	F3	-	0.655121	0.159122	0.839924	0.002622	0.997198	0.006273	0.993485	0.580647	0.411651	0.494980	0.504736	0.486437	0.513209	0.002136	0.997815	0.003180	0.996438	0.001147	0.998701	0.013168	0.986786	0.000633	0.999217
167	F3	-	0.477262	0.419392	0.579397	0.002622	0.997198	0.499616	0.499616	0.499660	0.499660	0.197933	0.795479	0.486437	0.513209	0.499815	0.499815	0.997153	0.002771	0.997033	0.000602	0.013168	0.986786	0.000483	0.998831
168	F3	-	0.565609	0.468604	0.530491	0.499672	0.499672	0.499910	0.499910	0.212504	0.785765	0.006171	0.993130	0.495534	0.504119	0.966397	0.033373	0.499951	0.499951	0.499771	0.499771	0.488223	0.511692	0.517909	0.477529
169	F3	-	0.597571	0.515399	0.482311	0.499493	0.499493	0.621590	0.377175	0.576405	0.422266	0.377758	0.610334	0.999197	0.000735	0.499914	0.499914	0.499636	0.499636	0.086181	0.907551	0.993180	0.006788	0.000633	0.999217
170	F3	-	0.523435	0.530200	0.468803	0.499252	0.499252	0.001734	0.998198	0.786123	0.213013	0.494980	0.504736	0.484644	0.511426	0.499815	0.499815	0.499951	0.499951	0.042997	0.954206	0.993180	0.006788	0.999320	0.000641
171	F3	-	0.391826	0.389604	0.606822	0.002622	0.997198	0.001734	0.998198	0.410174	0.560279	0.494980	0.504736	0.493065	0.502671	0.002136	0.997815	0.499951	0.499951	0.998415	0.001218	0.992476	0.007327	0.000483	0.998831
172	F3	-	0.304886	0.396351	0.603215	0.002867	0.996452	0.499570	0.499570	0.499791	0.499791	0.004961	0.994931	0.002906	0.996926	0.002136	0.997815	0.002847	0.996650	0.998415	0.001218	0.992476	0.007327	0.957539	0.041467
173	F3	-	0.548864	0.351395	0.648266	0.499672	0.499672	0.499910	0.499910	0.499934	0.499934	0.494980	0.504736	0.002906	0.996926	0.499738	0.499738	0.003441	0.995649	0.001147	0.998701	0.013168	0.986786	0.999052	0.000609
174	F3	-	0.590692	0.597698	0.400680	0.996632	0.002754	0.001734	0.998198	0.499660	0.499660	0.992442	0.000000	0.484644	0.511426	0.966397	0.033373	0.499735	0.499735	0.541922	0.455654	0.993180	0.006788	0.000633	0.999217
175	F3	-	0.536337	0.521798	0.476657	0.353263	0.644658	0.374626	0.619795	0.499791	0.499791	0.494980	0.504736	0.562786	0.432372	0.878393	0.120616	0.499951	0.499951	0.998388	0.001147	0.056011	0.943720	0.499789	0.499789
176	F3	-	0.625868	0.371996	0.626726	0.499120	0.499120	0.001972	0.997742	0.499934	0.499934	0.006171	0.993130	0.495534	0.504119	0.499356	0.499356	0.728711	0.263679	0.001147	0.998701	0.488223	0.511692	0.499789	0.499789
177	F3	-	0.459489	0.552915	0.446147	0.351713	0.643454	0.998198	0.001734	0.213013	0.786123	0.291407	0.708031	0.999060	0.000790	0.499738	0.499738	0.002771	0.997153	0.499590	0.499590	0.695656	0.303963	0.978009	0.020895
178	F3	-	0.519824	0.571729	0.427446	0.002513	0.996430	0.001734	0.998198	0.996407	0.003502	0.997510	0.002170	0.494674	0.502947	0.966318	0.033257	0.265547	0.730817	0.998769	0.001138	0.993180	0.006788	0.000633	0.999217
179	F3	-	0.600592	0.645146	0.353931	0.704203	0.293937	0.499910	0.499910	0.996407	0.003502	0.494980	0.504736	0.562786	0.432372	0.966397	0.033373	0.235521	0.763344	0.998769	0.001138	0.991858	0.007784	0.000633	0.999217
180	F3	-	0.267536	0.555839	0.440389	0.353263	0.644658	0.998198	0.001734	0.202482	0.773852	0.494934	0.504570	0.563331	0.433416	0.002136	0.997815	0.499735	0.499735	0.951340	0.041530	0.993180	0.006788	0.499789	0.499789
181	F3	-	0.504692	0.523652	0.474460	0.641119	0.350602	0.499502	0.499502	0.995821	0.003596	0.192073	0.800881	0.009630	0.990050	0.499738	0.499738	0.997153	0.002771	0.499771	0.499771	0.401921	0.597899	0.499789	0.499789
182	F3	-	0.252062	0.648226	0.351632	0.002622	0.997198	0.998198	0.001734	0.996407	0.003502	0.997763	0.002188	0.002906	0.996926	0.499894	0.499894	0.997153	0.002771	0.499771	0.499771	0.488223	0.511692	0.999320	0.000641
183	F3	-	0.362218	0.636559	0.362153	0.002513	0.996430	0.874788	0.124014	0.996407	0.003502	0.194920	0.804428	0.002906	0.996926	0.997815	0.002136	0.996438	0.003180	0.906966	0.084625	0.393910	0.605713	0.998931	0.000577
184	F3	-	0.561172	0.580503	0.419088	0.499252	0.499252	0.998198	0.001734	0.213013	0.786123	0.004961	0.994931	0.999060	0.000790	0.997815	0.002136	0.997153	0.002771	0.001055	0.998122	0.095201	0.904380	0.999320	0.000641
185	F3	-	0.548972	0.648471	0.351090	0.995162	0.002471	0.001734	0.998198	0.499934	0.499934	0.006171	0.993130	0.494998	0.504547	0.997815	0.002136	0.997153	0.002771	0.998769	0.001138	0.993180	0.006788	0.499789	0.499789
186	F3	-	0.698046	0.195842	0.800182	0.002622	0.997198	0.001972	0.997742	0.499934	0.499934	0.197933	0.795479	0.484644	0.511426	0.499738	0.499738	0.256870	0.716562	0.001055	0.998122	0.013168	0.986786	0.000483	0.998831
187	F3	-	0.400986	0.798137	0.201739	0.002622	0.997198	0.998198	0.001734	0.996407	0.003502	0.997763	0.002188	0.999197	0.000735	0.997815	0.002136	0.997153	0.002771	0.998399	0.001122	0.993180	0.006788	0.000633	0.999217
188	F3	-	0.400782	0.598563	0.400679	0.995162	0.002471	0.499622	0.499622	0.003502	0.996407	0.494980	0.504736	0.996929	0.000000	0.002136	0.997815	0.002771	0.997153	0.998415	0.001218	0.993180	0.006788	0.998931	0.000577
189	F3	-	0.570563	0.469822	0.529210	0.704203	0.293937	0.499910	0.499910	0.003502	0.996407	0.996767	0.002372	0.996173	0.000000	0.499914	0.499914	0.003180	0.996438	0.000754	0.997112	0.993180	0.006788	0.000633	0.999217
190	F3	-	0.401963	0.300616	0.698929	0.002622	0.997198	0.499622	0.499622	0.004080	0.995481	0.997763	0.002188	0.007921	0.991607	0.499914	0.499914	0.002771	0.997153	0.499590	0.499590	0.013168	0.986786	0.478715	0.519754
191	F3	-	0.145960	0.651634	0.347876	0.499672	0.499672	0.998198	0.001734	0.422266	0.576405	0.997332	0.002143	0.002906	0.996926	0.064220	0.935221	0.997153	0.002771	0.542096	0.456455	0.993180	0.006788	0.999320	0.000641
192	F3	-	0.525569	0.573873	0.425649	0.002622	0.997198	0.499622	0.499622	0.499934	0.499934	0.997763	0.002188	0.999197	0.000735	0.997267	0.001947	0.763344	0.235521	0.499771	0.499771	0.478579	0.520354	0.000633	0.999217
193	F3	-	0.594268	0.796870	0.202440	0.996705	0.002849	0.499622	0.499622	0.996407	0.003502	0.996767	0.002372	0.999197	0.000735	0.966318	0.033257	0.499864	0.499864	0.541922	0.455654	0.993180	0.006788	0.478715	0.519754
194	F3	-	0.399019	0.301095	0.698296	0.002622	0.997198	0.001734	0.998198	0.003502	0.996407	0.997763	0.002188	0.493065	0.502671	0.002136	0.997815	0.996552	0.002709	0.499771	0.499771	0.013168	0.986786	0.000633	0.999217
195	F3	-	0.406021	0.490981	0.508294	0.002641	0.996684	0.001972	0.997742	0.996407	0.003502	0.194920	0.804428	0.484644	0.511426	0.002433	0.997247	0.235521	0.763344	0.998769	0.001138	0.993180	0.006788	0.999320	0.000641
196	F3	-	0.349617	0.440802	0.557005	0.002622	0.997198	0.499502	0.499502	0.004080	0.995481	0.664593	0.318424	0.486437	0.513209	0.469132	0.530258	0.499735	0.499735	0.086477	0.911856	0.696121	0.303745	0.999320	0.000641
197	F3	-	0.452643	0.573620	0.424019	0.643454	0.351713	0.120026	0.865872	0.003502	0.996407	0.482700	0.516126	0.494674	0.502947	0.997815	0.002136	0.003134	0.996440	0.998399	0.001122	0.993180	0.006788	0.999320	0.000641
198	F3	-	0.427929	0.628713	0.369868	0.499672	0.499672	0.996016	0.001351	0.290699	0.708548	0.991426	0.000000	0.999197	0.000735	0.499750	0.499750	0.996650	0.002847	0.001229	0.998351	0.013168	0.986786	0.999320	0.000641
199	F3	-	0.677159	0.419183	0.577235	0.499493	0.499493	0.997750	0.001732	0.499824	0.499824	0.664593	0.318424	0.555499	0.430284	0.936810	0.062788	0.002771	0.997153	0.001229	0.998351	0.013168	0.986786	0.020689	0.977514
200	F3	-	0.400362	0.401630	0.598064	0.002867	0.996452	0.499622	0.499622	0.996247	0.003580	0.494934	0.504570	0.009630	0.990050	0.002136	0.997815	0.997153	0.002771	0.001229	0.998351	0.013168	0.986786	0.999320	0.000641
201	F3	-	0.596470	0.497719	0.499358	0.350602	0.641119	0.001734	0.998198	0.212504	0.785765	0.647494	0.341109	0.918670	0.079450	0.997815	0.002136	0.499951	0.499951	0.455080	0.540709	0.393910	0.605713	0.499425	0.499425
202	F3	-	0.644989	0.609654	0.388370	0.499252	0.499252	0.001734	0.998198	0.786123	0.213013	0.793496	0.205485	0.999060	0.000790	0.997247	0.002433	0.531203	0.453526	0.001147	0.998701	0.488223	0.511692	0.999052	0.000609
203	F3	-	0.472370	0.720100	0.279230	0.499493	0.499493	0.998198	0.001734	0.499407	0.499407	0.004961	0.994931	0.999007	0.000759	0.966117	0.032962	0.763344	0.235521	0.998769	0.001138	0.993180	0.006788	0.478528	0.519568
204	F3	-	0.496573	0.398941	0.599044	0.002622	0.997198	0.124014	0.874788	0.995638	0.003321	0.835883	0.163519	0.486437	0.513209	0.002136	0.997815	0.531203	0.453526	0.997679	0.001055	0.013168	0.986786	0.000633	0.999217
205	F3	-	0.495482	0.495029	0.504313	0.499672	0.499672	0.499502	0.499502	0.499791	0.499791	0.004961	0.994931	0.484644	0.511426	0.469184	0.530711	0.499951	0.499951	0.998769	0.001138	0.993180	0.006788	0.000633	0.999217
206	F3	-	0.692050	0.205549	0.794185	0.002622	0.997198	0.001734	0.998198	0.499934	0.499934	0.004961	0.994931	0.486437	0.513209	0.499914	0.499914	0.003134	0.996440	0.001147	0.998701	0.056011	0.943720	0.499601	0.499601
207	F3	-	0.322764	0.526023	0.470265	0.002622	0.997198	0.001734	0.998198	0.708548	0.290699	0.485083	0.514008	0.486437	0.513209	0.063604	0.935115	0.520988	0.445668	0.998769	0.001138	0.993180	0.006788	0.999262	0.000631
208	F3	-	0.549522	0.052553	0.947240	0.002622	0.997198	0.001734	0.998198	0.003502	0.996407	0.494980	0.504736	0.002906	0.996926	0.002136	0.997815	0.002771	0.997153	0.001229	0.998351	0.013168	0.986786	0.000483	0.998831
209	F3	-	0.620514	0.291226	0.707291	0.002641	0.996684	0.375423	0.620674	0.996247	0.003580	0.329651	0.669431	0.560566	0.431284	0.002136	0.997815	0.002821	0.997023	0.001147	0.998701	0.141893	0.857980	0.499737	0.499737
210	F3	-	0.425525	0.661439	0.337890	0.499644	0.499644	0.001734	0.998198	0.003502	0.996407	0.494980	0.504736	0.999007	0.000759	0.935221	0.064220	0.730817	0.265547	0.998769	0.001138	0.993180	0.006788	0.957539	0.041467
211	F3	-	0.377150	0.519425	0.478959	0.002622	0.997198	0.997742	0.001972	0.004040	0.995583	0.991426	0.000000	0.484644	0.511426	0.997247	0.002433	0.499951	0.499951	0.499771	0.499771	0.696121	0.303745	0.020689	0.977514
