Id	Cycle	Group	MS	All(a)	All(b)	QTL1(a)	QTL1(b)	QTL2(a)	QTL2(b)	QTL3(a)	QTL3(b)	QTL4(a)	QTL4(b)	QTL5(a)	QTL5(b)	QTL6(a)	QTL6(b)	QTL7(a)	QTL7(b)	QTL8(a)	QTL8(b)	QTL9(a)	QTL9(b)	QTL10(a)	QTL10(b)
22	F3	G3	0.363263	0.777292	0.221159	0.499493	0.499493	0.998198	0.001734	0.213013	0.786123	0.578174	0.410581	0.999197	0.000735	0.997815	0.002136	0.995649	0.003441	0.998769	0.001138	0.993180	0.006788	0.499425	0.499425
23	F3	G3	0.647830	0.352391	0.647274	0.499493	0.499493	0.001716	0.997757	0.003502	0.996407	0.004961	0.994931	0.999197	0.000735	0.499914	0.499914	0.996552	0.002709	0.001147	0.998701	0.017635	0.982303	0.499789	0.499789
24	F3	G3	0.529511	0.490878	0.505920	0.641119	0.350602	0.001972	0.997742	0.004040	0.995583	0.182633	0.815267	0.999197	0.000735	0.469184	0.530711	0.754583	0.229345	0.455080	0.540709	0.401921	0.597899	0.999052	0.000609
25	F3	G3	0.507345	0.498363	0.500457	0.499252	0.499252	0.001941	0.997729	0.499561	0.499561	0.993218	0.006599	0.562786	0.432372	0.469184	0.530711	0.499435	0.499435	0.499569	0.499569	0.937995	0.061825	0.020689	0.977514
26	F3	G3	0.601720	0.568113	0.431412	0.850342	0.148280	0.499910	0.499910	0.003502	0.996407	0.004961	0.994931	0.999007	0.000759	0.997815	0.002136	0.731750	0.267115	0.499590	0.499590	0.095201	0.904380	0.999052	0.000609
27	F3	G3	0.343560	0.721099	0.271593	0.996760	0.002665	0.997750	0.001732	0.289989	0.707190	0.997763	0.002188	0.102650	0.833352	0.935112	0.061627	0.499735	0.499735	0.998388	0.001147	0.393910	0.605713	0.998931	0.000577
28	F3	G3	0.652022	0.347500	0.651987	0.002622	0.997198	0.998198	0.001734	0.995821	0.003596	0.004961	0.994931	0.999136	0.000749	0.002136	0.997815	0.002709	0.996552	0.455611	0.541287	0.013168	0.986786	0.000633	0.999217
29	F3	G3	0.446958	0.552881	0.446769	0.002867	0.996452	0.998198	0.001734	0.996407	0.003502	0.993218	0.006599	0.999007	0.000759	0.002136	0.997815	0.002771	0.997153	0.499562	0.499562	0.993180	0.006788	0.041463	0.957330
30	F3	G3	0.694985	0.503644	0.495452	0.996760	0.002665	0.374626	0.619795	0.003502	0.996407	0.153562	0.845451	0.999197	0.000735	0.997815	0.002136	0.997153	0.002771	0.001229	0.998351	0.013168	0.986786	0.499423	0.499423
31	F3	G2	0.498757	0.301131	0.698651	0.002622	0.997198	0.001734	0.998198	0.499660	0.499660	0.997763	0.002188	0.494998	0.504547	0.002433	0.997247	0.997153	0.002771	0.001147	0.998701	0.013168	0.986786	0.000633	0.999217
32	F3	G2	0.428242	0.566598	0.433126	0.997315	0.002580	0.499910	0.499910	0.003502	0.996407	0.194920	0.804428	0.007921	0.991607	0.966397	0.033373	0.997153	0.002771	0.499590	0.499590	0.499949	0.499949	0.999320	0.000641
33	F3	G2	0.371641	0.569237	0.430362	0.704203	0.293937	0.998198	0.001734	0.995821	0.003596	0.494980	0.504736	0.002906	0.996926	0.002136	0.997815	0.002771	0.997153	0.998388	0.001147	0.993180	0.006788	0.499789	0.499789
34	F3	G2	0.484346	0.459689	0.538541	0.499493	0.499493	0.371386	0.614377	0.708548	0.290699	0.004961	0.994931	0.486437	0.513209	0.033373	0.966397	0.499951	0.499951	0.499771	0.499771	0.993180	0.006788	0.499789	0.499789
35	F3	G2	0.565916	0.567691	0.430998	0.147600	0.849374	0.499616	0.499616	0.996407	0.003502	0.997763	0.002188	0.999197	0.000735	0.525784	0.466201	0.997153	0.002771	0.499590	0.499590	0.013168	0.986786	0.000633	0.999217
36	F3	-	0.451096	0.250426	0.749356	0.499672	0.499672	0.499622	0.499622	0.003502	0.996407	0.004961	0.994931	0.002906	0.996926	0.002136	0.997815	0.002771	0.997153	0.001147	0.998701	0.488223	0.511692	0.999320	0.000641
37	F3	-	0.415560	0.439460	0.557393	0.499672	0.499672	0.122466	0.873192	0.773852	0.202482	0.004961	0.994931	0.002906	0.996926	0.002136	0.997815	0.996440	0.003134	0.499562	0.499562	0.993180	0.006788	0.499425	0.499425
38	F3	-	0.500260	0.599453	0.400323	0.002622	0.997198	0.998198	0.001734	0.499660	0.499660	0.004961	0.994931	0.999060	0.000790	0.997815	0.002136	0.499636	0.499636	0.998769	0.001138	0.993180	0.006788	0.000633	0.999217
39	F3	-	0.585788	0.413598	0.585413	0.002867	0.996452	0.122466	0.873192	0.996407	0.003502	0.004961	0.994931	0.003717	0.994969	0.997815	0.002136	0.997153	0.002771	0.997033	0.000602	0.013168	0.986786	0.000398	0.998792
40	F3	G4	0.450183	0.647812	0.351996	0.997315	0.002580	0.001734	0.998198	0.995481	0.004080	0.494965	0.504683	0.495534	0.504119	0.002136	0.997815	0.499951	0.499951	0.998769	0.001138	0.993180	0.006788	0.999052	0.000609
41	F3	G5	0.413490	0.585051	0.412103	0.994848	0.001568	0.866253	0.116386	0.004080	0.995481	0.997763	0.002188	0.007921	0.991607	0.997815	0.002136	0.993384	0.001166	0.499590	0.499590	0.488223	0.511692	0.000633	0.999217
42	F3	G5	0.795341	0.303613	0.696035	0.499644	0.499644	0.001716	0.997757	0.995481	0.004080	0.004961	0.994931	0.002906	0.996926	0.997815	0.002136	0.002771	0.997153	0.001147	0.998701	0.488223	0.511692	0.041463	0.957330
43	F3	-	0.087196	0.515176	0.484435	0.002513	0.996430	0.997750	0.001732	0.004040	0.995583	0.997763	0.002188	0.002906	0.996926	0.003479	0.996382	0.996440	0.003134	0.499569	0.499569	0.647979	0.351763	0.999320	0.000641
44	F3	-	0.545154	0.426293	0.572990	0.850342	0.148280	0.377175	0.621590	0.499660	0.499660	0.494965	0.504683	0.009630	0.990050	0.499895	0.499895	0.499735	0.499735	0.043512	0.954521	0.488223	0.511692	0.499789	0.499789
45	F3	-	0.745872	0.551291	0.448485	0.997315	0.002580	0.001734	0.998198	0.996407	0.003502	0.014575	0.985066	0.495534	0.504119	0.997247	0.002433	0.996438	0.003180	0.001229	0.998351	0.013168	0.986786	0.999262	0.000631
46	F3	G6	0.658335	0.569475	0.429826	0.146403	0.848356	0.001734	0.998198	0.996407	0.003502	0.997763	0.002188	0.999197	0.000735	0.997815	0.002136	0.499864	0.499864	0.499771	0.499771	0.056011	0.943720	0.499789	0.499789
47	F3	G6	0.547606	0.479057	0.520274	0.968555	0.030840	0.499504	0.499504	0.499762	0.499762	0.997510	0.002170	0.167411	0.831805	0.499715	0.499715	0.002806	0.997045	0.494442	0.504042	0.393910	0.605713	0.266958	0.732142
48	F3	G6	0.299284	0.572184	0.426730	0.813340	0.179900	0.499616	0.499616	0.003502	0.996407	0.376063	0.622788	0.024417	0.975139	0.517706	0.481986	0.997153	0.002771	0.998399	0.001122	0.991858	0.007784	0.499789	0.499789
49	F3	-	0.735753	0.561077	0.437184	0.499672	0.499672	0.499045	0.499045	0.995583	0.004040	0.647494	0.341109	0.999197	0.000735	0.997815	0.002136	0.002847	0.996650	0.456156	0.541881	0.013168	0.986786	0.499789	0.499789
50	F3	-	0.603243	0.397384	0.602089	0.997315	0.002580	0.001759	0.998096	0.996407	0.003502	0.997763	0.002188	0.009630	0.990050	0.002136	0.997815	0.499951	0.499951	0.455080	0.540709	0.013168	0.986786	0.000633	0.999217
51	F3	-	0.567325	0.328125	0.671520	0.499493	0.499493	0.499502	0.499502	0.499934	0.499934	0.291407	0.708031	0.009630	0.990050	0.469184	0.530711	0.997153	0.002771	0.001147	0.998701	0.013168	0.986786	0.000633	0.999217
52	F3	-	0.665675	0.345450	0.652682	0.002867	0.996452	0.374626	0.619795	0.996407	0.003502	0.004961	0.994931	0.559590	0.428973	0.499914	0.499914	0.002771	0.997153	0.001147	0.998701	0.013168	0.986786	0.999052	0.000609
53	F3	-	0.493601	0.798555	0.201067	0.996705	0.002849	0.998198	0.001734	0.499934	0.499934	0.997177	0.002453	0.999197	0.000735	0.966397	0.033373	0.997153	0.002771	0.043512	0.954521	0.488223	0.511692	0.999052	0.000609
54	F3	-	0.376866	0.564729	0.434867	0.997315	0.002580	0.998198	0.001734	0.212504	0.785765	0.291407	0.708031	0.495534	0.504119	0.003479	0.996382	0.003134	0.996440	0.998415	0.001218	0.647979	0.351763	0.999320	0.000641
55	F3	-	0.517787	0.482931	0.516078	0.997315	0.002580	0.620674	0.375423	0.003502	0.996407	0.004961	0.994931	0.009630	0.990050	0.997815	0.002136	0.003180	0.996438	0.499771	0.499771	0.693142	0.302404	0.999320	0.000641
56	F3	-	0.438581	0.369795	0.629926	0.499493	0.499493	0.001716	0.997757	0.499934	0.499934	0.004961	0.994931	0.009630	0.990050	0.033373	0.966397	0.002771	0.997153	0.998769	0.001138	0.647979	0.351763	0.999320	0.000641
57	F3	-	0.363910	0.466059	0.533080	0.146403	0.848356	0.996663	0.002118	0.004080	0.995481	0.997332	0.002143	0.002906	0.996926	0.997815	0.002136	0.003134	0.996440	0.499771	0.499771	0.013168	0.986786	0.999320	0.000641
58	F3	-	0.543643	0.438840	0.560440	0.002513	0.996430	0.998198	0.001734	0.995481	0.004080	0.494980	0.504736	0.913335	0.083114	0.002136	0.997815	0.002771	0.997153	0.499771	0.499771	0.478579	0.520354	0.000633	0.999217
59	F3	-	0.515856	0.297218	0.702525	0.002622	0.997198	0.001734	0.998198	0.996407	0.003502	0.004961	0.994931	0.002906	0.996926	0.064220	0.935221	0.997153	0.002771	0.499771	0.499771	0.401921	0.597899	0.000483	0.998831
60	F3	-	0.657147	0.276443	0.722004	0.644658	0.353263	0.375423	0.620674	0.003502	0.996407	0.288075	0.705127	0.495534	0.504119	0.530711	0.469184	0.002771	0.997153	0.001147	0.998701	0.401921	0.597899	0.020689	0.977514
61	F3	-	0.297268	0.408042	0.591710	0.002622	0.997198	0.001716	0.997757	0.004040	0.995583	0.997763	0.002188	0.002906	0.996926	0.517706	0.481986	0.499951	0.499951	0.998388	0.001147	0.056011	0.943720	0.999320	0.000641
62	F3	-	0.567739	0.432013	0.567073	0.002622	0.997198	0.997757	0.001716	0.003502	0.996407	0.997763	0.002188	0.999197	0.000735	0.997815	0.002136	0.263679	0.728711	0.001147	0.998701	0.056011	0.943720	0.000633	0.999217
63	F3	-	0.425453	0.373927	0.625439	0.002622	0.997198	0.499910	0.499910	0.499934	0.499934	0.494934	0.504570	0.493065	0.502671	0.002136	0.997815	0.002771	0.997153	0.998769	0.001138	0.744492	0.254782	0.000633	0.999217
64	F3	-	0.601095	0.595803	0.401681	0.499493	0.499493	0.245003	0.747967	0.499934	0.499934	0.476244	0.509711	0.999197	0.000735	0.997815	0.002136	0.467497	0.531124	0.998388	0.001147	0.773825	0.225342	0.000633	0.999217
65	F3	-	0.716748	0.482021	0.516662	0.995162	0.002471	0.001734	0.998198	0.996407	0.003502	0.205485	0.793496	0.009630	0.990050	0.997815	0.002136	0.265547	0.730817	0.456156	0.541881	0.393910	0.605713	0.498359	0.498359
66	F3	-	0.572631	0.725598	0.274109	0.996705	0.002849	0.499793	0.499793	0.996407	0.003502	0.997763	0.002188	0.999197	0.000735	0.499914	0.499914	0.002771	0.997153	0.998769	0.001138	0.744492	0.254782	0.520171	0.479034
67	F3	-	0.530585	0.570131	0.429114	0.996632	0.002754	0.001734	0.998198	0.499561	0.499561	0.997177	0.002453	0.010574	0.985422	0.997815	0.002136	0.002847	0.996650	0.499590	0.499590	0.696121	0.303745	0.999262	0.000631
68	F3	-	0.490917	0.391536	0.607087	0.499583	0.499583	0.620674	0.375423	0.420355	0.576833	0.997763	0.002188	0.494998	0.504547	0.002136	0.997815	0.003180	0.996438	0.001147	0.998701	0.396811	0.599591	0.478715	0.519754
69	F3	-	0.478744	0.419103	0.578398	0.703649	0.288608	0.499502	0.499502	0.286814	0.704372	0.004961	0.994931	0.002906	0.996926	0.499738	0.499738	0.002847	0.996650	0.997679	0.001055	0.693142	0.302404	0.499789	0.499789
70	F3	-	0.435456	0.363960	0.635269	0.499493	0.499493	0.246112	0.752488	0.003502	0.996407	0.993218	0.006599	0.494998	0.504547	0.002136	0.997815	0.003134	0.996440	0.001147	0.998701	0.396811	0.599591	0.999052	0.000609
71	F3	-	0.648769	0.153639	0.846196	0.997315	0.002580	0.001972	0.997742	0.003502	0.996407	0.004961	0.994931	0.009630	0.990050	0.002136	0.997815	0.002771	0.997153	0.001147	0.998701	0.013168	0.986786	0.499789	0.499789
72	F3	-	0.421029	0.323456	0.675965	0.499493	0.499493	0.001734	0.998198	0.212504	0.785765	0.494980	0.504736	0.009630	0.990050	0.002136	0.997815	0.002771	0.997153	0.998769	0.001138	0.991858	0.007784	0.020689	0.977514
73	F3	-	0.449383	0.393535	0.605873	0.002622	0.997198	0.499502	0.499502	0.213013	0.786123	0.997763	0.002188	0.999197	0.000735	0.002136	0.997815	0.002771	0.997153	0.043512	0.954521	0.696121	0.303745	0.478715	0.519754
74	F3	-	0.316008	0.492558	0.507169	0.997315	0.002580	0.998198	0.001734	0.003502	0.996407	0.494980	0.504736	0.009630	0.990050	0.033373	0.966397	0.997153	0.002771	0.001147	0.998701	0.390957	0.607674	0.999320	0.000641
75	F3	-	0.397037	0.503696	0.495885	0.002641	0.996684	0.499616	0.499616	0.003502	0.996407	0.997763	0.002188	0.999197	0.000735	0.499738	0.499738	0.002771	0.997153	0.998415	0.001218	0.991858	0.007784	0.041463	0.957330
76	F3	-	0.561839	0.759274	0.240260	0.644658	0.353263	0.997742	0.001972	0.996407	0.003502	0.997763	0.002188	0.999197	0.000735	0.966397	0.033373	0.003441	0.995649	0.499590	0.499590	0.488223	0.511692	0.999320	0.000641
77	F3	-	0.379215	0.421976	0.577152	0.499672	0.499672	0.001734	0.998198	0.499934	0.499934	0.997763	0.002188	0.007921	0.991607	0.002136	0.997815	0.233107	0.761517	0.499590	0.499590	0.478579	0.520354	0.999320	0.000641
78	F3	-	0.402420	0.503160	0.496507	0.997315	0.002580	0.997729	0.001941	0.003502	0.996407	0.494934	0.504570	0.494998	0.504547	0.032962	0.966117	0.996440	0.003134	0.001229	0.998351	0.013168	0.986786	0.999320	0.000641
79	F3	-	0.667860	0.368108	0.631123	0.997315	0.002580	0.377175	0.621590	0.708548	0.290699	0.997763	0.002188	0.007921	0.991607	0.469184	0.530711	0.003134	0.996440	0.043512	0.954521	0.056011	0.943720	0.020515	0.977174
80	F3	-	0.609406	0.389990	0.609557	0.002622	0.997198	0.499616	0.499616	0.995481	0.004080	0.004961	0.994931	0.002906	0.996926	0.997815	0.002136	0.499735	0.499735	0.494208	0.503834	0.401921	0.597899	0.000633	0.999217
81	F3	-	0.437982	0.264309	0.734719	0.002641	0.996684	0.620669	0.376476	0.003502	0.996407	0.494980	0.504736	0.009630	0.990050	0.499356	0.499356	0.499636	0.499636	0.001147	0.998701	0.013168	0.986786	0.498359	0.498359
82	F3	-	0.614219	0.583667	0.415098	0.996632	0.002754	0.499502	0.499502	0.996407	0.003502	0.494934	0.504570	0.003717	0.994969	0.997815	0.002136	0.002847	0.996650	0.951116	0.041400	0.393910	0.605713	0.499789	0.499789
83	F3	-	0.589359	0.408454	0.589651	0.996632	0.002754	0.998198	0.001734	0.996407	0.003502	0.494980	0.504736	0.002906	0.996926	0.002136	0.997815	0.002771	0.997153	0.537270	0.453314	0.013168	0.986786	0.040071	0.951789
84	F3	-	0.127408	0.574004	0.425668	0.499583	0.499583	0.246112	0.752488	0.003502	0.996407	0.997763	0.002188	0.002906	0.996926	0.002136	0.997815	0.997153	0.002771	0.998769	0.001138	0.993180	0.006788	0.998931	0.000577
85	F3	-	0.406964	0.562585	0.435737	0.350602	0.641119	0.499502	0.499502	0.499407	0.499407	0.997177	0.002453	0.999197	0.000735	0.002136	0.997815	0.265547	0.730817	0.998415	0.001218	0.993180	0.006788	0.020689	0.977514
86	F3	-	0.550065	0.748552	0.251263	0.996632	0.002754	0.001734	0.998198	0.499934	0.499934	0.997763	0.002188	0.999197	0.000735	0.997815	0.002136	0.002771	0.997153	0.998769	0.001138	0.991858	0.007784	0.999052	0.000609
87	F3	-	0.305570	0.595789	0.403706	0.997315	0.002580	0.998198	0.001734	0.499791	0.499791	0.004961	0.994931	0.009630	0.990050	0.002136	0.997815	0.499951	0.499951	0.954206	0.042997	0.993180	0.006788	0.998523	0.000425
88	F3	-	0.257941	0.677385	0.321236	0.147600	0.849374	0.873192	0.122466	0.499762	0.499762	0.996767	0.002372	0.564716	0.434359	0.469184	0.530711	0.730629	0.266333	0.499562	0.499562	0.993180	0.006788	0.999255	0.000633
89	F3	-	0.214107	0.611659	0.387590	0.002622	0.997198	0.499622	0.499622	0.996407	0.003502	0.997763	0.002188	0.128498	0.865984	0.002136	0.997815	0.499951	0.499951	0.998415	0.001218	0.991858	0.007784	0.999320	0.000641
90	F3	-	0.459907	0.654819	0.344084	0.002622	0.997198	0.998198	0.001734	0.575916	0.416896	0.004961	0.994931	0.999197	0.000735	0.997267	0.001947	0.499735	0.499735	0.998399	0.001122	0.993180	0.006788	0.478715	0.519754
91	F3	-	0.614699	0.592248	0.406770	0.968555	0.030840	0.499504	0.499504	0.640964	0.357536	0.030342	0.969092	0.928359	0.070212	0.499715	0.499715	0.002663	0.995965	0.976872	0.021168	0.488223	0.511692	0.887279	0.111973
92	F3	-	0.415629	0.620093	0.379608	0.002622	0.997198	0.499910	0.499910	0.708548	0.290699	0.997763	0.002188	0.999197	0.000735	0.469184	0.530711	0.531124	0.467497	0.998769	0.001138	0.993180	0.006788	0.000633	0.999217
93	F3	-	0.609964	0.488772	0.510317	0.996632	0.002754	0.374506	0.618781	0.499791	0.499791	0.004961	0.994931	0.999060	0.000790	0.002136	0.997815	0.997153	0.002771	0.001055	0.998122	0.013168	0.986786	0.999262	0.000631
94	F3	-	0.312755	0.400795	0.598062	0.002622	0.997198	0.499910	0.499910	0.003580	0.996247	0.369136	0.629046	0.563132	0.433289	0.002136	0.997815	0.996440	0.003134	0.998388	0.001147	0.095201	0.904380	0.477409	0.518458
95	F3	-	0.545977	0.564815	0.433790	0.997315	0.002580	0.998198	0.001734	0.996407	0.003502	0.494980	0.504736	0.563331	0.433416	0.002136	0.997815	0.003180	0.996438	0.537270	0.453314	0.056011	0.943720	0.999320	0.000641
96	F3	-	0.207925	0.517469	0.481047	0.002622	0.997198	0.998198	0.001734	0.499934	0.499934	0.997763	0.002188	0.127125	0.868089	0.002136	0.997815	0.997153	0.002771	0.537270	0.453314	0.013168	0.986786	0.999320	0.000641
97	F3	-	0.262247	0.406274	0.592527	0.002513	0.996430	0.001941	0.997729	0.213013	0.786123	0.997763	0.002188	0.127125	0.868089	0.002433	0.997247	0.730817	0.265547	0.499590	0.499590	0.488223	0.511692	0.999320	0.000641
98	F3	-	0.329642	0.530788	0.468350	0.293603	0.703089	0.998198	0.001734	0.499934	0.499934	0.997763	0.002188	0.009130	0.986720	0.499914	0.499914	0.997153	0.002771	0.998388	0.001147	0.013168	0.986786	0.000633	0.999217
