Id	MS	All	QTL1	QTL2	QTL3	QTL4	QTL5	QTL6	QTL7	QTL8	QTL9	QTL10
48	0.299284	0.998915	0.993240	0.999232	0.999909	0.998852	0.999556	0.999692	0.999924	0.999520	0.999642	0.999579
49	0.735753	0.998261	0.999344	0.998090	0.999623	0.988603	0.999932	0.999952	0.999496	0.998037	0.999954	0.999579
50	0.603243	0.999474	0.999895	0.999855	0.999909	0.999951	0.999680	0.999952	0.999901	0.995789	0.999954	0.999850
51	0.567325	0.999645	0.998987	0.999005	0.999867	0.999439	0.999680	0.999894	0.999924	0.999849	0.999954	0.999850
52	0.665675	0.998132	0.999318	0.994421	0.999909	0.999892	0.988563	0.999828	0.999924	0.999849	0.999954	0.999661
53	0.493601	0.999622	0.999554	0.999932	0.999867	0.999630	0.999932	0.999770	0.999924	0.998033	0.999915	0.999661
54	0.376866	0.999596	0.999895	0.999932	0.998269	0.999439	0.999653	0.999861	0.999573	0.999633	0.999742	0.999960
55	0.517787	0.999009	0.999895	0.996097	0.999909	0.999892	0.999680	0.999952	0.999619	0.999541	0.995546	0.999960
56	0.438581	0.999720	0.998987	0.999473	0.999867	0.999892	0.999680	0.999770	0.999924	0.999907	0.999742	0.999960
57	0.363910	0.999139	0.994759	0.998781	0.999561	0.999475	0.999831	0.999952	0.999573	0.999541	0.999954	0.999960
58	0.543643	0.999280	0.998943	0.999932	0.999561	0.999716	0.996449	0.999952	0.999924	0.999541	0.998933	0.999850
59	0.515856	0.999743	0.999820	0.999932	0.999909	0.999892	0.999831	0.999441	0.999924	0.999541	0.999820	0.999314
60	0.657147	0.998447	0.997920	0.996097	0.999909	0.993202	0.999653	0.999894	0.999924	0.999849	0.999820	0.998203
61	0.297268	0.999752	0.999820	0.999473	0.999623	0.999951	0.999831	0.999692	0.999901	0.999535	0.999731	0.999960
62	0.567739	0.999086	0.999820	0.999473	0.999909	0.999951	0.999932	0.999952	0.992391	0.999849	0.999731	0.999850
63	0.425453	0.999365	0.999820	0.999821	0.999867	0.999503	0.995736	0.999952	0.999924	0.999907	0.999274	0.999850
64	0.601095	0.997484	0.998987	0.992970	0.999867	0.985955	0.999932	0.999952	0.998621	0.999535	0.999167	0.999850
65	0.716748	0.998683	0.997633	0.999932	0.999909	0.998980	0.999680	0.999952	0.996364	0.998037	0.999623	0.996718
66	0.572631	0.999707	0.999554	0.999587	0.999909	0.999951	0.999932	0.999828	0.999924	0.999907	0.999274	0.999205
67	0.530585	0.999245	0.999386	0.999932	0.999122	0.999630	0.995997	0.999952	0.999496	0.999179	0.999865	0.999893
68	0.490917	0.998624	0.999166	0.996097	0.997187	0.999951	0.999545	0.999952	0.999619	0.999849	0.996402	0.998468
69	0.478744	0.997500	0.992257	0.999005	0.991186	0.999892	0.999831	0.999475	0.999496	0.998735	0.995546	0.999579
70	0.435456	0.999230	0.998987	0.998600	0.999909	0.999817	0.999545	0.999952	0.999573	0.999849	0.996402	0.999661
71	0.648769	0.999835	0.999895	0.999714	0.999909	0.999892	0.999680	0.999952	0.999924	0.999849	0.999954	0.999579
72	0.421029	0.999421	0.998987	0.999932	0.998269	0.999716	0.999680	0.999952	0.999924	0.999907	0.999642	0.998203
73	0.449383	0.999409	0.999820	0.999005	0.999136	0.999951	0.999932	0.999952	0.999924	0.998033	0.999865	0.998468
74	0.316008	0.999727	0.999895	0.999932	0.999909	0.999716	0.999680	0.999770	0.999924	0.999849	0.998631	0.999960
75	0.397037	0.999582	0.999326	0.999232	0.999909	0.999951	0.999932	0.999475	0.999924	0.999633	0.999642	0.998793
76	0.561839	0.999534	0.997920	0.999714	0.999909	0.999951	0.999932	0.999770	0.999090	0.999179	0.999915	0.999960
77	0.379215	0.999127	0.999344	0.999932	0.999867	0.999951	0.999528	0.999952	0.994623	0.999179	0.998933	0.999960
78	0.402420	0.999667	0.999895	0.999670	0.999909	0.999503	0.999545	0.999079	0.999573	0.999580	0.999954	0.999960
79	0.667860	0.999231	0.999895	0.998765	0.999247	0.999951	0.999528	0.999894	0.999573	0.998033	0.999731	0.997688
80	0.609406	0.999547	0.999820	0.999232	0.999561	0.999892	0.999831	0.999952	0.999470	0.998042	0.999820	0.999850
81	0.437982	0.999028	0.999326	0.997145	0.999909	0.999716	0.999680	0.998712	0.999271	0.999849	0.999954	0.996718
82	0.614219	0.998765	0.999386	0.999005	0.999909	0.999503	0.998686	0.999952	0.999496	0.992516	0.999623	0.999579
83	0.589359	0.998105	0.999386	0.999932	0.999909	0.999716	0.999831	0.999952	0.999924	0.990583	0.999954	0.991860
84	0.127408	0.999672	0.999166	0.998600	0.999909	0.999951	0.999831	0.999952	0.999924	0.999907	0.999968	0.999508
85	0.406964	0.998322	0.991721	0.999005	0.998814	0.999630	0.999932	0.999952	0.996364	0.999633	0.999968	0.998203
86	0.550065	0.999815	0.999386	0.999932	0.999867	0.999951	0.999932	0.999952	0.999924	0.999907	0.999642	0.999661
87	0.305570	0.999495	0.999895	0.999932	0.999582	0.999892	0.999680	0.999952	0.999901	0.997203	0.999968	0.998948
88	0.257941	0.998621	0.996974	0.995658	0.999524	0.999139	0.999075	0.999894	0.996962	0.999124	0.999968	0.999888
89	0.214107	0.999249	0.999820	0.999243	0.999909	0.999951	0.994483	0.999952	0.999901	0.999633	0.999642	0.999960
90	0.459907	0.998903	0.999820	0.999932	0.992812	0.999892	0.999932	0.999214	0.999470	0.999520	0.999968	0.998468
91	0.614699	0.999017	0.999395	0.999007	0.998500	0.999433	0.998571	0.999431	0.998628	0.998040	0.999915	0.999252
92	0.415629	0.999701	0.999820	0.999821	0.999247	0.999951	0.999932	0.999894	0.998621	0.999907	0.999968	0.999850
93	0.609964	0.999090	0.999386	0.993287	0.999582	0.999892	0.999850	0.999952	0.999924	0.999176	0.999954	0.999893
94	0.312755	0.998858	0.999820	0.999821	0.999827	0.998182	0.996420	0.999952	0.999573	0.999535	0.999582	0.995867
95	0.545977	0.998604	0.999895	0.999932	0.999909	0.999716	0.996747	0.999952	0.999619	0.990583	0.999731	0.999960
96	0.207925	0.998516	0.999820	0.999932	0.999867	0.999951	0.995214	0.999952	0.999924	0.990583	0.999954	0.999960
97	0.262247	0.998801	0.998943	0.999670	0.999136	0.999951	0.995214	0.999679	0.996364	0.999179	0.999915	0.999960
98	0.329642	0.999138	0.996692	0.999932	0.999867	0.999951	0.995850	0.999828	0.999924	0.999535	0.999954	0.999850
99	0.609787	0.998659	0.991325	0.999714	0.999909	0.999439	0.999932	0.999952	0.999573	0.997203	0.999968	0.999579
100	0.262477	0.998645	0.994759	0.999005	0.999909	0.999951	0.995850	0.999679	0.999901	0.997575	0.999968	0.999850
101	0.574901	0.999038	0.999820	0.999243	0.999909	0.998867	0.996757	0.999952	0.998871	0.998033	0.999731	0.999202
102	0.474250	0.998102	0.988876	0.999473	0.999867	0.999892	0.999932	0.999952	0.999924	0.999535	0.999915	0.993651
103	0.372915	0.998122	0.994759	0.995658	0.999909	0.999301	0.999831	0.999475	0.999492	0.992870	0.999968	0.999960
104	0.342474	0.999193	0.998987	0.996097	0.998269	0.999951	0.999680	0.999952	0.999924	0.999520	0.999968	0.999579
105	0.389174	0.998899	0.996974	0.994421	0.999623	0.999403	0.999831	0.999679	0.999619	0.999530	0.999954	0.999960
106	0.626843	0.999388	0.997920	0.999482	0.999909	0.999260	0.999766	0.999770	0.999470	0.999020	0.999623	0.999661
107	0.512028	0.999121	0.999820	0.999243	0.999909	0.999892	0.995214	0.999894	0.999924	0.998378	0.999742	0.999190
108	0.662021	0.998064	0.999386	0.999714	0.999909	0.987093	0.999850	0.999952	0.999619	0.995622	0.999642	0.999850
109	0.557565	0.999789	0.999820	0.999932	0.999909	0.999951	0.999932	0.999952	0.999924	0.999530	0.999623	0.999314
110	0.714071	0.999052	0.999895	0.999473	0.999623	0.998182	0.999932	0.999079	0.997791	0.998378	0.999968	0.998203
111	0.443802	0.999268	0.997633	0.999932	0.999582	0.999892	0.999646	0.999828	0.999901	0.996434	0.999865	0.999960
112	0.406949	0.998636	0.997633	0.999005	0.999319	0.999892	0.999831	0.999679	0.999496	0.991591	0.999954	0.999960
113	0.517033	0.997676	0.998987	0.998802	0.999909	0.988092	0.999545	0.999475	0.999470	0.994041	0.999582	0.998851
114	0.462364	0.999550	0.999895	0.996097	0.999909	0.999951	0.999932	0.999952	0.999924	0.999907	0.999968	0.999960
115	0.477978	0.997843	0.997031	0.995658	0.999561	0.998153	0.999653	0.991985	0.999924	0.997203	0.999968	0.999288
116	0.552253	0.997344	0.999895	0.999821	0.976326	0.998990	0.999850	0.999952	0.999924	0.999138	0.999968	0.999579
117	0.632814	0.998355	0.999895	0.999005	0.999623	0.995465	0.999766	0.999828	0.992391	0.998037	0.999582	0.999960
118	0.638994	0.998925	0.999554	0.999005	0.992298	0.999260	0.999885	0.999828	0.999924	0.999580	0.999954	0.999960
119	0.158800	0.999135	0.995167	0.999714	0.999623	0.999439	0.999680	0.999952	0.999496	0.998735	0.999968	0.999579
120	0.583315	0.999528	0.999386	0.998765	0.999417	0.999951	0.999653	0.999475	0.998865	0.999849	0.999954	0.999960
121	0.625265	0.999390	0.998987	0.999821	0.999319	0.998867	0.998121	0.999828	0.999619	0.999535	0.999954	0.999850
122	0.463141	0.999436	0.999820	0.999932	0.999867	0.999348	0.999203	0.999441	0.999901	0.998033	0.999915	0.998904
123	0.653208	0.998956	0.999344	0.999932	0.999247	0.999716	0.999203	0.999952	0.999619	0.995789	0.999582	0.997175
124	0.509467	0.999004	0.999895	0.999243	0.999319	0.999716	0.996747	0.999952	0.999470	0.995789	0.999954	0.999960
125	0.655658	0.998285	0.999344	0.999005	0.999909	0.999892	0.995214	0.999952	0.999924	0.992516	0.999915	0.997175
126	0.350979	0.999717	0.998505	0.999473	0.999909	0.999892	0.999680	0.999952	0.999924	0.999907	0.999968	0.999960
127	0.465989	0.998674	0.998240	0.999007	0.999141	0.995391	0.998319	0.999431	0.999709	0.998483	0.999915	0.999100
128	0.356356	0.999626	0.999820	0.999932	0.998960	0.999892	0.999255	0.999214	0.999727	0.999849	0.999954	0.999661
129	0.500326	0.999739	0.999820	0.999482	0.999909	0.999716	0.999042	0.999770	0.999924	0.999907	0.999968	0.999850
130	0.550992	0.999178	0.996416	0.999005	0.999561	0.999716	0.999556	0.999952	0.999924	0.999535	0.999915	0.998203
131	0.653214	0.999372	0.998505	0.999932	0.999623	0.999892	0.999653	0.999952	0.999271	0.998033	0.999954	0.998904
132	0.663207	0.999291	0.994759	0.999932	0.999417	0.999892	0.999680	0.999679	0.999901	0.999849	0.999954	0.999850
133	0.481917	0.999249	0.999895	0.999821	0.999909	0.999951	0.999545	0.999952	0.999924	0.999849	0.995546	0.998096
134	0.620983	0.999026	0.996416	0.999821	0.999136	0.999716	0.999932	0.999828	0.998621	0.997203	0.999742	0.999850
135	0.255065	0.999589	0.999386	0.999932	0.999909	0.999503	0.999831	0.999079	0.999090	0.999907	0.999968	0.999288
136	0.610058	0.998192	0.999820	0.989984	0.999909	0.999951	0.999932	0.999952	0.999271	0.994041	0.999582	0.999474
137	0.449808	0.999720	0.998987	0.999714	0.999909	0.999301	0.999831	0.999789	0.999901	0.999907	0.999968	0.999893
138	0.360799	0.999674	0.999820	0.999243	0.999909	0.999951	0.999545	0.999214	0.999924	0.999849	0.999623	0.999661
139	0.542957	0.999613	0.999318	0.999932	0.998670	0.999503	0.999766	0.999952	0.999924	0.999520	0.999968	0.999579
140	0.401239	0.999824	0.999386	0.999932	0.999909	0.999892	0.999831	0.999952	0.999924	0.999541	0.999915	0.999960
141	0.494737	0.998590	0.991721	0.999932	0.999319	0.999716	0.999831	0.999679	0.999573	0.999541	0.999865	0.996718
142	0.455925	0.998360	0.994759	0.999473	0.991624	0.999951	0.999932	0.999617	0.999924	0.999535	0.998933	0.999850
143	0.486364	0.999534	0.998622	0.999932	0.999909	0.999091	0.999680	0.999828	0.999901	0.999580	0.999954	0.998846
144	0.593320	0.999140	0.999386	0.999932	0.999582	0.999091	0.999653	0.999475	0.999496	0.995789	0.999417	0.999579
145	0.535614	0.999439	0.999554	0.999932	0.997178	0.999630	0.999932	0.999952	0.998864	0.999907	0.999865	0.999579
146	0.477010	0.999706	0.999820	0.999232	0.999867	0.999951	0.999545	0.999770	0.999924	0.999479	0.999619	0.999850
147	0.653619	0.999239	0.994759	0.998802	0.999623	0.999951	0.999932	0.999770	0.999901	0.999849	0.999954	0.999850
148	0.351193	0.999629	0.999820	0.999232	0.998670	0.999892	0.999831	0.999952	0.999727	0.999907	0.999945	0.999314
149	0.521864	0.998029	0.999326	0.999932	0.995606	0.997199	0.999653	0.999079	0.999924	0.990979	0.999803	0.998793
150	0.694754	0.999676	0.999344	0.999140	0.999909	0.999892	0.999766	0.999754	0.999573	0.999849	0.999954	0.999579
151	0.521242	0.999064	0.998505	0.999473	0.998269	0.999951	0.999545	0.999952	0.999271	0.999849	0.999954	0.995867
152	0.570885	0.999489	0.998987	0.998802	0.998814	0.999892	0.999646	0.999828	0.999901	0.999541	0.999623	0.999850
153	0.621600	0.999655	0.999895	0.998765	0.999623	0.999892	0.999831	0.999952	0.999470	0.999541	0.999623	0.999960
154	0.343372	0.998955	0.998987	0.999482	0.999909	0.993202	0.999831	0.999905	0.999924	0.999633	0.999167	0.999508
155	0.674958	0.999259	0.999318	0.999932	0.999909	0.999951	0.999932	0.999214	0.996364	0.999849	0.999915	0.998203
156	0.709055	0.999681	0.999765	0.999932	0.999909	0.999892	0.999766	0.999952	0.999271	0.998735	0.999623	0.999960
157	0.505143	0.999592	0.999318	0.999482	0.999909	0.999716	0.999620	0.999770	0.999496	0.999541	0.999410	0.999661
158	0.445727	0.998793	0.999780	0.999932	0.993956	0.999951	0.999680	0.999079	0.996364	0.999535	0.999803	0.999850
159	0.691253	0.998968	0.999386	0.999932	0.999623	0.997784	0.995736	0.999598	0.999924	0.999580	0.999915	0.998203
160	0.446550	0.995255	0.996692	0.999473	0.999319	0.998865	0.995158	0.992462	0.973433	0.999849	0.999915	0.997382
161	0.496362	0.999406	0.997920	0.999670	0.999909	0.999403	0.999680	0.999441	0.999271	0.999479	0.999968	0.999314
162	0.319716	0.999251	0.999820	0.999932	0.999417	0.999886	0.999528	0.999679	0.995648	0.999849	0.999954	0.998793
163	0.549927	0.998984	0.999895	0.999714	0.999909	0.992442	0.999653	0.999629	0.999924	0.999179	0.999915	0.999579
164	0.619970	0.998505	0.999895	0.999855	0.999623	0.990454	0.999932	0.999342	0.999496	0.998033	0.999954	0.998468
165	0.576923	0.998643	0.998987	0.999587	0.999909	0.993413	0.996070	0.999890	0.999924	0.999849	0.999954	0.998851
166	0.655121	0.999046	0.999820	0.999757	0.992298	0.999716	0.999646	0.999952	0.999619	0.999849	0.999954	0.999850
167	0.477262	0.998789	0.999820	0.999232	0.999319	0.993413	0.999646	0.999629	0.999924	0.997635	0.999954	0.999314
168	0.565609	0.999095	0.999344	0.999821	0.998269	0.999301	0.999653	0.999770	0.999901	0.999541	0.999915	0.995439
169	0.597571	0.997710	0.998987	0.998765	0.998670	0.988092	0.999932	0.999828	0.999271	0.993733	0.999968	0.999850
170	0.523435	0.999002	0.998505	0.999932	0.999136	0.999716	0.996070	0.999629	0.999901	0.997203	0.999968	0.999960
171	0.391826	0.996426	0.999820	0.999932	0.970454	0.999716	0.995736	0.999952	0.999901	0.999633	0.999803	0.999314
172	0.304886	0.999565	0.999318	0.999140	0.999582	0.999892	0.999831	0.999952	0.999496	0.999633	0.999803	0.999005
173	0.548864	0.999661	0.999344	0.999821	0.999867	0.999716	0.999831	0.999475	0.999090	0.999849	0.999954	0.999661
174	0.590692	0.998378	0.999386	0.999932	0.999319	0.992442	0.996070	0.999770	0.999470	0.997575	0.999968	0.999850
175	0.536337	0.998455	0.997920	0.994421	0.999582	0.999716	0.995158	0.999009	0.999901	0.999535	0.999731	0.999579
176	0.625868	0.998722	0.998240	0.999714	0.999867	0.999301	0.999653	0.998712	0.992391	0.999849	0.999915	0.999579
177	0.459489	0.999063	0.995167	0.999932	0.999136	0.999439	0.999850	0.999475	0.999924	0.999179	0.999619	0.998904
178	0.519824	0.999175	0.998943	0.999932	0.999909	0.999680	0.997621	0.999575	0.996364	0.999907	0.999968	0.999850
179	0.600592	0.999078	0.998140	0.999821	0.999909	0.999716	0.995158	0.999770	0.998865	0.999907	0.999642	0.999850
180	0.267536	0.996228	0.997920	0.999932	0.976334	0.999503	0.996747	0.999952	0.999470	0.992870	0.999968	0.999579
181	0.504692	0.998112	0.991721	0.999005	0.999417	0.992954	0.999680	0.999475	0.999924	0.999541	0.999820	0.999579
