Id	Cycle	Group	MS	All(+/+)	All(-/-)	All(+/-)	QTL1(+/+)	QTL1(-/-)	QTL1(+/-)	QTL2(+/+)	QTL2(-/-)	QTL2(+/-)	QTL3(+/+)	QTL3(-/-)	QTL3(+/-)	QTL4(+/+)	QTL4(-/-)	QTL4(+/-)	QTL5(+/+)	QTL5(-/-)	QTL5(+/-)	QTL6(+/+)	QTL6(-/-)	QTL6(+/-)	QTL7(+/+)	QTL7(-/-)	QTL7(+/-)	QTL8(+/+)	QTL8(-/-)	QTL8(+/-)	QTL9(+/+)	QTL9(-/-)	QTL9(+/-)	QTL10(+/+)	QTL10(-/-)	QTL10(+/-)
70	F3	-	0.435456	0.327816	0.456134	0.215280	0.005495	0.005495	0.987998	0.731462	0.225086	0.042052	0.001309	0.994214	0.004386	0.002587	0.989206	0.008024	0.001714	0.011264	0.986567	0.000799	0.996478	0.002675	0.994072	0.000766	0.004735	0.997961	0.000407	0.001481	0.542575	0.339794	0.114034	0.000183	0.998626	0.000853
71	F3	-	0.648769	0.595704	0.298001	0.106130	0.995704	0.000968	0.003223	0.996245	0.000474	0.002995	0.001309	0.994214	0.004386	0.990837	0.000867	0.008188	0.000708	0.981128	0.017843	0.000799	0.996478	0.002675	0.995412	0.001029	0.003483	0.997961	0.000407	0.001481	0.976771	0.003153	0.020029	0.001293	0.001293	0.996994
72	F3	-	0.421029	0.298896	0.456260	0.244265	0.005495	0.005495	0.987998	0.997099	0.000635	0.002198	0.013891	0.587152	0.397226	0.014390	0.004634	0.980692	0.000708	0.981128	0.017843	0.000799	0.996478	0.002675	0.995412	0.001029	0.003483	0.000424	0.998055	0.001428	0.002183	0.986257	0.011203	0.958559	0.001734	0.037910
73	F3	-	0.449383	0.299613	0.400255	0.299541	0.000931	0.995507	0.003381	0.003827	0.003827	0.991350	0.014304	0.587413	0.397419	0.000804	0.996379	0.002768	0.998718	0.000256	0.000959	0.000799	0.996478	0.002675	0.995412	0.001029	0.003483	0.915095	0.004087	0.078851	0.022792	0.415168	0.561906	0.043446	0.002407	0.952615
74	F3	-	0.316008	0.259025	0.626736	0.113966	0.995704	0.000968	0.003223	0.000635	0.997099	0.002198	0.001309	0.994214	0.004386	0.014390	0.004634	0.980692	0.000708	0.981128	0.017843	0.004882	0.937907	0.056981	0.001029	0.995412	0.003483	0.997961	0.000407	0.001481	0.573391	0.356674	0.068566	0.000239	0.998918	0.000804
75	F3	-	0.397037	0.295953	0.501462	0.202167	0.001047	0.995090	0.003189	0.003693	0.003693	0.991846	0.001309	0.994214	0.004386	0.000804	0.996379	0.002768	0.998718	0.000256	0.000959	0.004542	0.004542	0.990392	0.995412	0.001029	0.003483	0.000314	0.997510	0.001809	0.002183	0.986257	0.011203	0.951514	0.035647	0.011632
76	F3	-	0.561839	0.426927	0.302784	0.269823	0.303768	0.012373	0.681779	0.000474	0.996245	0.002995	0.994214	0.001309	0.004386	0.000804	0.996379	0.002768	0.998718	0.000256	0.000959	0.937907	0.004882	0.056981	0.992893	0.000685	0.005512	0.002428	0.002428	0.994323	0.037830	0.014362	0.947724	0.000239	0.998918	0.000804
77	F3	-	0.379215	0.161220	0.401917	0.435990	0.005677	0.005677	0.987989	0.997099	0.000635	0.002198	0.007742	0.007742	0.984383	0.000804	0.996379	0.002768	0.000608	0.984294	0.014626	0.000799	0.996478	0.002675	0.539855	0.011446	0.443322	0.002428	0.002428	0.994323	0.056947	0.015172	0.926815	0.000239	0.998918	0.000804
78	F3	-	0.402420	0.299335	0.494162	0.206170	0.995704	0.000968	0.003223	0.000495	0.996283	0.002892	0.001309	0.994214	0.004386	0.014248	0.004611	0.980645	0.001714	0.011264	0.986567	0.004681	0.937835	0.056562	0.000766	0.994072	0.004735	0.997423	0.000301	0.001856	0.976771	0.003153	0.020029	0.000239	0.998918	0.000804
79	F3	-	0.667860	0.545425	0.208936	0.244870	0.995704	0.000968	0.003223	0.253808	0.009393	0.735565	0.433369	0.015520	0.550358	0.000804	0.996379	0.002768	0.000608	0.984294	0.014626	0.007494	0.069021	0.923379	0.994072	0.000766	0.004735	0.915095	0.004087	0.078851	0.894923	0.007213	0.097595	0.958373	0.001714	0.037601
80	F3	-	0.609406	0.456214	0.236950	0.306383	0.000931	0.995507	0.003381	0.003693	0.003693	0.991846	0.992364	0.000962	0.006235	0.990837	0.000867	0.008188	0.000357	0.994377	0.005097	0.996478	0.000799	0.002675	0.005934	0.005934	0.987601	0.017485	0.007858	0.972699	0.555265	0.359286	0.085269	0.998800	0.000215	0.000836
81	F3	-	0.437982	0.201054	0.324117	0.473856	0.001047	0.995090	0.003189	0.008014	0.252207	0.736924	0.001309	0.994214	0.004386	0.014390	0.004634	0.980692	0.000708	0.981128	0.017843	0.004486	0.004486	0.989740	0.005855	0.005855	0.987561	0.997961	0.000407	0.001481	0.976771	0.003153	0.020029	0.000000	0.000000	0.996718
82	F3	-	0.614219	0.423331	0.193658	0.381776	0.994751	0.000873	0.003761	0.003827	0.003827	0.991350	0.994214	0.001309	0.004386	0.014248	0.004611	0.980645	0.000097	0.991349	0.007240	0.996478	0.000799	0.002675	0.994932	0.001129	0.003436	0.002816	0.912532	0.077168	0.230660	0.018857	0.750106	0.001293	0.001293	0.996994
83	F3	-	0.589359	0.492750	0.312136	0.193218	0.994751	0.000873	0.003761	0.000635	0.997099	0.002198	0.994214	0.001309	0.004386	0.014390	0.004634	0.980692	0.000357	0.994377	0.005097	0.000799	0.996478	0.002675	0.995412	0.001029	0.003483	0.001028	0.084984	0.904570	0.976771	0.003153	0.020029	0.949144	0.037426	0.005290
84	F3	-	0.127408	0.074453	0.819309	0.105910	0.005586	0.005586	0.987993	0.731462	0.225086	0.042052	0.001309	0.994214	0.004386	0.000804	0.996379	0.002768	0.000357	0.994377	0.005097	0.000799	0.996478	0.002675	0.001029	0.995412	0.003483	0.000424	0.998055	0.001428	0.002606	0.988998	0.008365	0.000151	0.998504	0.000853
85	F3	-	0.406964	0.245990	0.430385	0.321948	0.009728	0.300245	0.681748	0.003827	0.003827	0.991350	0.007366	0.007366	0.984083	0.000587	0.995310	0.003732	0.998718	0.000256	0.000959	0.000799	0.996478	0.002675	0.477393	0.012123	0.506848	0.000314	0.997510	0.001809	0.002606	0.988998	0.008365	0.958559	0.001734	0.037910
86	F3	-	0.550065	0.499379	0.399065	0.101371	0.994751	0.000873	0.003761	0.997099	0.000635	0.002198	0.007742	0.007742	0.984383	0.000804	0.996379	0.002768	0.998718	0.000256	0.000959	0.996478	0.000799	0.002675	0.995412	0.001029	0.003483	0.000424	0.998055	0.001428	0.002183	0.986257	0.011203	0.000183	0.998626	0.000853
87	F3	-	0.305570	0.200894	0.589249	0.209352	0.995704	0.000968	0.003223	0.000635	0.997099	0.002198	0.007623	0.007623	0.984336	0.990837	0.000867	0.008188	0.000708	0.981128	0.017843	0.000799	0.996478	0.002675	0.006098	0.006098	0.987706	0.003816	0.915025	0.078361	0.002606	0.988998	0.008365	0.000111	0.998209	0.000629
88	F3	-	0.257941	0.020103	0.502840	0.475677	0.009505	0.711279	0.276190	0.007285	0.758012	0.230361	0.024149	0.024149	0.951227	0.000417	0.994812	0.003910	0.135095	0.004739	0.859241	0.007494	0.069021	0.923379	0.011715	0.476011	0.509237	0.002537	0.002537	0.994050	0.002606	0.988998	0.008365	0.000225	0.998847	0.000816
89	F3	-	0.214107	0.112546	0.683582	0.203121	0.000931	0.995507	0.003381	0.003696	0.003696	0.991851	0.994214	0.001309	0.004386	0.000804	0.996379	0.002768	0.116184	0.853670	0.024629	0.000799	0.996478	0.002675	0.006098	0.006098	0.987706	0.000314	0.997510	0.001809	0.002183	0.986257	0.011203	0.000239	0.998918	0.000804
90	F3	-	0.459907	0.357207	0.436297	0.205399	0.000931	0.995507	0.003381	0.000635	0.997099	0.002198	0.532526	0.373506	0.086779	0.990837	0.000867	0.008188	0.998718	0.000256	0.000959	0.996044	0.000723	0.002447	0.005934	0.005934	0.987601	0.000393	0.997670	0.001458	0.002606	0.988998	0.008365	0.043446	0.002407	0.952615
91	F3	-	0.614699	0.461994	0.231613	0.305410	0.953928	0.016213	0.029254	0.033769	0.033769	0.931469	0.313260	0.029832	0.655408	0.940232	0.001482	0.057719	0.897658	0.039512	0.061402	0.374798	0.374798	0.249835	0.994353	0.001051	0.003224	0.011297	0.967000	0.019743	0.037830	0.014362	0.947724	0.062810	0.838116	0.098325
92	F3	-	0.415629	0.288431	0.456874	0.254396	0.000931	0.995507	0.003381	0.003891	0.003891	0.992038	0.433369	0.015520	0.550358	0.000804	0.996379	0.002768	0.998718	0.000256	0.000959	0.007494	0.069021	0.923379	0.437275	0.500902	0.060444	0.000424	0.998055	0.001428	0.002606	0.988998	0.008365	0.998800	0.000215	0.000836
93	F3	-	0.609964	0.521876	0.301037	0.176177	0.994751	0.000873	0.003761	0.250741	0.006467	0.736079	0.007623	0.007623	0.984336	0.990837	0.000867	0.008188	0.998545	0.000275	0.001030	0.000799	0.996478	0.002675	0.001029	0.995412	0.003483	0.997433	0.000366	0.001377	0.976771	0.003153	0.020029	0.000226	0.998856	0.000811
94	F3	-	0.312755	0.156611	0.529960	0.312287	0.000931	0.995507	0.003381	0.003891	0.003891	0.992038	0.001290	0.993957	0.004579	0.563366	0.303456	0.131360	0.132869	0.003026	0.860526	0.000799	0.996478	0.002675	0.000766	0.994072	0.004735	0.000353	0.997593	0.001589	0.819114	0.009935	0.170532	0.042730	0.001681	0.951456
95	F3	-	0.545977	0.402808	0.309458	0.286339	0.995704	0.000968	0.003223	0.000635	0.997099	0.002198	0.994214	0.001309	0.004386	0.014390	0.004634	0.980692	0.132141	0.002226	0.862380	0.000799	0.996478	0.002675	0.994004	0.000746	0.004870	0.001028	0.084984	0.904570	0.894923	0.007213	0.097595	0.000239	0.998918	0.000804
96	F3	-	0.207925	0.110725	0.693391	0.194399	0.000931	0.995507	0.003381	0.000635	0.997099	0.002198	0.007742	0.007742	0.984383	0.000804	0.996379	0.002768	0.117274	0.858238	0.019702	0.000799	0.996478	0.002675	0.001029	0.995412	0.003483	0.001028	0.084984	0.904570	0.976771	0.003153	0.020029	0.000239	0.998918	0.000804
97	F3	-	0.262247	0.118294	0.592602	0.287905	0.000936	0.994852	0.003155	0.996283	0.000495	0.002892	0.014304	0.587413	0.397419	0.000804	0.996379	0.002768	0.117274	0.858238	0.019702	0.000723	0.995537	0.003419	0.012123	0.477393	0.506848	0.002428	0.002428	0.994323	0.037830	0.014362	0.947724	0.000239	0.998918	0.000804
98	F3	-	0.329642	0.225676	0.565529	0.207933	0.266055	0.675540	0.055097	0.000635	0.997099	0.002198	0.007742	0.007742	0.984383	0.000804	0.996379	0.002768	0.000000	0.977590	0.018260	0.004569	0.004569	0.990691	0.001029	0.995412	0.003483	0.000353	0.997593	0.001589	0.976771	0.003153	0.020029	0.998800	0.000215	0.000836
99	F3	-	0.609787	0.512467	0.291552	0.194641	0.706062	0.005449	0.279814	0.996245	0.000474	0.002995	0.994214	0.001309	0.004386	0.424470	0.007846	0.567123	0.998718	0.000256	0.000959	0.996478	0.000799	0.002675	0.000766	0.994072	0.004735	0.003816	0.915025	0.078361	0.002606	0.988998	0.008365	0.001293	0.001293	0.996994
100	F3	-	0.262477	0.102699	0.576391	0.319555	0.008299	0.710252	0.276208	0.003827	0.003827	0.991350	0.001309	0.994214	0.004386	0.000804	0.996379	0.002768	0.000000	0.977590	0.018260	0.000723	0.995537	0.003419	0.006098	0.006098	0.987706	0.004527	0.090795	0.902254	0.002606	0.988998	0.008365	0.998800	0.000215	0.000836
101	F3	-	0.574901	0.386494	0.235730	0.376815	0.000931	0.995507	0.003381	0.003696	0.003696	0.991851	0.001309	0.994214	0.004386	0.035004	0.331039	0.632824	0.996757	0.000000	0.000000	0.996478	0.000799	0.002675	0.019580	0.019580	0.959712	0.915095	0.004087	0.078851	0.894923	0.007213	0.097595	0.001165	0.001165	0.996873
102	F3	-	0.474250	0.373645	0.423246	0.201211	0.668574	0.267046	0.053257	0.000632	0.996673	0.002168	0.007742	0.007742	0.984383	0.990837	0.000867	0.008188	0.998718	0.000256	0.000959	0.996478	0.000799	0.002675	0.001029	0.995412	0.003483	0.000353	0.997593	0.001589	0.037830	0.014362	0.947724	0.034253	0.951716	0.007681
103	F3	-	0.372915	0.292088	0.544381	0.161654	0.008299	0.710252	0.276208	0.007285	0.758012	0.230361	0.994214	0.001309	0.004386	0.987539	0.000580	0.011181	0.000357	0.994377	0.005097	0.004542	0.004542	0.990392	0.003582	0.984416	0.011494	0.912214	0.002405	0.078251	0.002606	0.988998	0.008365	0.000239	0.998918	0.000804
104	F3	-	0.342474	0.184793	0.499038	0.315363	0.005495	0.005495	0.987998	0.253266	0.008015	0.734816	0.587152	0.013891	0.397226	0.000804	0.996379	0.002768	0.000708	0.981128	0.017843	0.000799	0.996478	0.002675	0.995412	0.001029	0.003483	0.000393	0.997670	0.001458	0.002606	0.988998	0.008365	0.001293	0.001293	0.996994
105	F3	-	0.389174	0.318973	0.539523	0.140403	0.009505	0.711279	0.276190	0.247735	0.002566	0.744120	0.001099	0.992642	0.005882	0.009827	0.682191	0.307384	0.000357	0.994377	0.005097	0.000723	0.995537	0.003419	0.994004	0.000746	0.004870	0.949470	0.013824	0.036236	0.976771	0.003153	0.020029	0.000239	0.998918	0.000804
106	F3	-	0.626843	0.494039	0.239740	0.265609	0.012373	0.303768	0.681779	0.996668	0.000650	0.002164	0.001309	0.994214	0.004386	0.990527	0.000820	0.007913	0.998468	0.000220	0.001078	0.937907	0.004882	0.056981	0.005934	0.005934	0.987601	0.766359	0.069430	0.163230	0.230660	0.018857	0.750106	0.000183	0.998626	0.000853
107	F3	-	0.512028	0.374361	0.349425	0.275335	0.000931	0.995507	0.003381	0.003696	0.003696	0.991851	0.994214	0.001309	0.004386	0.990837	0.000867	0.008188	0.117274	0.858238	0.019702	0.069021	0.007494	0.923379	0.001029	0.995412	0.003483	0.294972	0.062272	0.641134	0.273051	0.569267	0.157424	0.998582	0.000189	0.000419
108	F3	-	0.662021	0.622652	0.296673	0.078739	0.994751	0.000873	0.003761	0.000474	0.996245	0.002995	0.994214	0.001309	0.004386	0.036406	0.327804	0.622884	0.998545	0.000275	0.001030	0.996478	0.000799	0.002675	0.994004	0.000746	0.004870	0.210663	0.652205	0.132754	0.002183	0.986257	0.011203	0.998800	0.000215	0.000836
109	F3	-	0.557565	0.517224	0.401883	0.080682	0.000931	0.995507	0.003381	0.997099	0.000635	0.002198	0.994214	0.001309	0.004386	0.000804	0.996379	0.002768	0.998718	0.000256	0.000959	0.000799	0.996478	0.002675	0.001029	0.995412	0.003483	0.949470	0.013824	0.036236	0.230660	0.018857	0.750106	0.998518	0.000171	0.000625
110	F3	-	0.714071	0.660651	0.231562	0.106839	0.995704	0.000968	0.003223	0.996673	0.000632	0.002168	0.992642	0.001099	0.005882	0.563366	0.303456	0.131360	0.998718	0.000256	0.000959	0.004681	0.937835	0.056562	0.798589	0.018373	0.180828	0.294972	0.062272	0.641134	0.002606	0.988998	0.008365	0.958559	0.001734	0.037910
111	F3	-	0.443802	0.206977	0.318641	0.473650	0.993277	0.000585	0.003771	0.000635	0.997099	0.002198	0.007623	0.007623	0.984336	0.990837	0.000867	0.008188	0.002253	0.029024	0.968369	0.004569	0.004569	0.990691	0.006098	0.006098	0.987706	0.041446	0.726459	0.228529	0.022792	0.415168	0.561906	0.000239	0.998918	0.000804
112	F3	-	0.406949	0.304555	0.489293	0.204788	0.993277	0.000585	0.003771	0.003827	0.003827	0.991350	0.007538	0.007538	0.984244	0.990837	0.000867	0.008188	0.000357	0.994377	0.005097	0.000723	0.995537	0.003419	0.001129	0.994932	0.003436	0.070856	0.893197	0.027539	0.976771	0.003153	0.020029	0.000239	0.998918	0.000804
113	F3	-	0.517033	0.236414	0.200024	0.561238	0.005495	0.005495	0.987998	0.008289	0.759064	0.231449	0.994214	0.001309	0.004386	0.522898	0.290323	0.174871	0.001714	0.011264	0.986567	0.004542	0.004542	0.990392	0.005934	0.005934	0.987601	0.000958	0.911390	0.081694	0.819114	0.009935	0.170532	0.000982	0.000982	0.996887
114	F3	-	0.462364	0.424218	0.499040	0.076291	0.995704	0.000968	0.003223	0.253266	0.008015	0.734816	0.994214	0.001309	0.004386	0.000804	0.996379	0.002768	0.998718	0.000256	0.000959	0.000799	0.996478	0.002675	0.995412	0.001029	0.003483	0.000424	0.998055	0.001428	0.002606	0.988998	0.008365	0.000239	0.998918	0.000804
115	F3	-	0.477978	0.333446	0.375332	0.289065	0.712674	0.010442	0.273916	0.007285	0.758012	0.230361	0.992364	0.000962	0.006235	0.613749	0.005864	0.378541	0.001692	0.010276	0.987685	0.004707	0.064290	0.922988	0.995412	0.001029	0.003483	0.003816	0.915025	0.078361	0.002606	0.988998	0.008365	0.000153	0.998422	0.000713
116	F3	-	0.552253	0.371457	0.264295	0.361592	0.995704	0.000968	0.003223	0.003891	0.003891	0.992038	0.413482	0.000000	0.562843	0.299191	0.648968	0.050830	0.998545	0.000275	0.001030	0.996478	0.000799	0.002675	0.001029	0.995412	0.003483	0.002350	0.002350	0.994439	0.002606	0.988998	0.008365	0.001293	0.001293	0.996994
117	F3	-	0.632814	0.438102	0.170829	0.389424	0.995704	0.000968	0.003223	0.003827	0.003827	0.991350	0.992642	0.001099	0.005882	0.008483	0.681531	0.305451	0.998468	0.000220	0.001078	0.004569	0.004569	0.990691	0.467648	0.002616	0.522126	0.090330	0.004606	0.903101	0.819114	0.009935	0.170532	0.000239	0.998918	0.000804
118	F3	-	0.638994	0.535349	0.256286	0.207289	0.994662	0.000806	0.004086	0.003827	0.003827	0.991350	0.385810	0.554806	0.051683	0.990527	0.000820	0.007913	0.998639	0.000252	0.000994	0.004569	0.004569	0.990691	0.001029	0.995412	0.003483	0.997423	0.000301	0.001856	0.976771	0.003153	0.020029	0.000239	0.998918	0.000804
119	F3	-	0.158800	0.044411	0.725946	0.228778	0.011282	0.303023	0.680862	0.000474	0.996245	0.002995	0.001099	0.992642	0.005882	0.424470	0.007846	0.567123	0.000708	0.981128	0.017843	0.000799	0.996478	0.002675	0.001129	0.994932	0.003436	0.000251	0.996875	0.001608	0.002606	0.988998	0.008365	0.001293	0.001293	0.996994
120	F3	-	0.583315	0.423726	0.256623	0.319179	0.994751	0.000873	0.003761	0.253808	0.009393	0.735565	0.993624	0.001399	0.004394	0.000804	0.996379	0.002768	0.001692	0.010276	0.987685	0.004542	0.004542	0.990392	0.013065	0.540888	0.444913	0.997961	0.000407	0.001481	0.976771	0.003153	0.020029	0.000239	0.998918	0.000804
121	F3	-	0.625265	0.389385	0.138244	0.471761	0.005495	0.005495	0.987998	0.003891	0.003891	0.992038	0.007538	0.007538	0.984244	0.035004	0.331039	0.632824	0.867427	0.028207	0.102487	0.004569	0.004569	0.990691	0.994004	0.000746	0.004870	0.000353	0.997593	0.001589	0.976771	0.003153	0.020029	0.998800	0.000215	0.000836
122	F3	-	0.463141	0.252666	0.325819	0.420952	0.000931	0.995507	0.003381	0.000635	0.997099	0.002198	0.007742	0.007742	0.984383	0.616067	0.006559	0.376722	0.016825	0.215192	0.767186	0.923442	0.052441	0.023558	0.006098	0.006098	0.987706	0.915095	0.004087	0.078851	0.037830	0.014362	0.947724	0.001991	0.959106	0.037807
123	F3	-	0.653208	0.432847	0.125388	0.440720	0.005677	0.005677	0.987989	0.997099	0.000635	0.002198	0.433369	0.015520	0.550358	0.014390	0.004634	0.980692	0.016825	0.215192	0.767186	0.000799	0.996478	0.002675	0.994004	0.000746	0.004870	0.089161	0.003531	0.903097	0.819114	0.009935	0.170532	0.958037	0.001531	0.037606
124	F3	-	0.509467	0.222637	0.202708	0.573660	0.995704	0.000968	0.003223	0.003696	0.003696	0.991851	0.007538	0.007538	0.984244	0.014390	0.004634	0.980692	0.132141	0.002226	0.862380	0.000799	0.996478	0.002675	0.005934	0.005934	0.987601	0.089161	0.003531	0.903097	0.976771	0.003153	0.020029	0.000239	0.998918	0.000804
125	F3	-	0.655658	0.501644	0.188613	0.308027	0.005677	0.005677	0.987989	0.003827	0.003827	0.991350	0.994214	0.001309	0.004386	0.990837	0.000867	0.008188	0.117274	0.858238	0.019702	0.000799	0.996478	0.002675	0.995412	0.001029	0.003483	0.912532	0.002816	0.077168	0.037830	0.014362	0.947724	0.958037	0.001531	0.037606
126	F3	-	0.350979	0.299117	0.596876	0.103724	0.005301	0.005301	0.987903	0.000632	0.996673	0.002168	0.994214	0.001309	0.004386	0.990837	0.000867	0.008188	0.000708	0.981128	0.017843	0.000799	0.996478	0.002675	0.995412	0.001029	0.003483	0.000424	0.998055	0.001428	0.002606	0.988998	0.008365	0.000239	0.998918	0.000804
127	F3	-	0.465989	0.141991	0.208687	0.647995	0.045813	0.045813	0.906613	0.033769	0.033769	0.931469	0.025846	0.714975	0.258320	0.250150	0.317856	0.427385	0.066146	0.474526	0.457647	0.374798	0.374798	0.249835	0.006024	0.006024	0.987662	0.017663	0.008063	0.972758	0.037830	0.014362	0.947724	0.561872	0.096689	0.340539
128	F3	-	0.356356	0.298203	0.585118	0.116305	0.000931	0.995507	0.003381	0.000635	0.997099	0.002198	0.001310	0.993627	0.004024	0.990837	0.000867	0.008188	0.006654	0.859821	0.132780	0.000723	0.996044	0.002447	0.006028	0.006028	0.987672	0.997961	0.000407	0.001481	0.976771	0.003153	0.020029	0.000183	0.998626	0.000853
129	F3	-	0.500326	0.402252	0.401339	0.196148	0.000931	0.995507	0.003381	0.996668	0.000650	0.002164	0.994214	0.001309	0.004386	0.014390	0.004634	0.980692	0.014194	0.085084	0.899764	0.004882	0.937907	0.056981	0.995412	0.001029	0.003483	0.000424	0.998055	0.001428	0.002606	0.988998	0.008365	0.998800	0.000215	0.000836
130	F3	-	0.550992	0.400236	0.297429	0.301513	0.993933	0.000653	0.001829	0.003827	0.003827	0.991350	0.992364	0.000962	0.006235	0.014390	0.004634	0.980692	0.003594	0.954317	0.041645	0.996478	0.000799	0.002675	0.001029	0.995412	0.003483	0.000353	0.997593	0.001589	0.037830	0.014362	0.947724	0.958559	0.001734	0.037910
131	F3	-	0.653214	0.497275	0.190219	0.311878	0.005301	0.005301	0.987903	0.997099	0.000635	0.002198	0.992642	0.001099	0.005882	0.990837	0.000867	0.008188	0.001692	0.010276	0.987685	0.996478	0.000799	0.002675	0.005855	0.005855	0.987561	0.004087	0.915095	0.078851	0.976771	0.003153	0.020029	0.001991	0.959106	0.037807
132	F3	-	0.663207	0.597092	0.269969	0.132230	0.008299	0.710252	0.276208	0.997099	0.000635	0.002198	0.993624	0.001399	0.004394	0.990837	0.000867	0.008188	0.000708	0.981128	0.017843	0.000723	0.995537	0.003419	0.006098	0.006098	0.987706	0.997961	0.000407	0.001481	0.976771	0.003153	0.020029	0.998800	0.000215	0.000836
133	F3	-	0.481917	0.306516	0.341930	0.350802	0.995704	0.000968	0.003223	0.003891	0.003891	0.992038	0.001309	0.994214	0.004386	0.000804	0.996379	0.002768	0.001714	0.011264	0.986567	0.996478	0.000799	0.002675	0.001029	0.995412	0.003483	0.997961	0.000407	0.001481	0.022929	0.413667	0.558950	0.043343	0.002303	0.952449
134	F3	-	0.620983	0.437948	0.195009	0.366069	0.993933	0.000653	0.001829	0.003891	0.003891	0.992038	0.587413	0.014304	0.397419	0.014390	0.004634	0.980692	0.998718	0.000256	0.000959	0.004569	0.004569	0.990691	0.500902	0.437275	0.060444	0.003816	0.915025	0.078361	0.273051	0.569267	0.157424	0.998800	0.000215	0.000836
135	F3	-	0.255065	0.201631	0.691092	0.106867	0.994751	0.000873	0.003761	0.997099	0.000635	0.002198	0.001309	0.994214	0.004386	0.014248	0.004611	0.980645	0.000357	0.994377	0.005097	0.004681	0.937835	0.056562	0.000685	0.992893	0.005512	0.000424	0.998055	0.001428	0.002606	0.988998	0.008365	0.000153	0.998422	0.000713
136	F3	-	0.610058	0.495924	0.273999	0.228269	0.000931	0.995507	0.003381	0.230487	0.727740	0.031757	0.994214	0.001309	0.004386	0.000804	0.996379	0.002768	0.998718	0.000256	0.000959	0.996478	0.000799	0.002675	0.005855	0.005855	0.987561	0.911390	0.000958	0.081694	0.819114	0.009935	0.170532	0.001248	0.001248	0.996978
137	F3	-	0.449808	0.299777	0.399881	0.300062	0.005495	0.005495	0.987998	0.996245	0.000474	0.002995	0.994214	0.001309	0.004386	0.987539	0.000580	0.011181	0.000357	0.994377	0.005097	0.004566	0.004566	0.990658	0.006098	0.006098	0.987706	0.000424	0.998055	0.001428	0.002606	0.988998	0.008365	0.000226	0.998856	0.000811
138	F3	-	0.360799	0.223433	0.501509	0.274732	0.000931	0.995507	0.003381	0.003696	0.003696	0.991851	0.001309	0.994214	0.004386	0.000804	0.996379	0.002768	0.001714	0.011264	0.986567	0.996044	0.000723	0.002447	0.001029	0.995412	0.003483	0.997961	0.000407	0.001481	0.230660	0.018857	0.750106	0.000183	0.998626	0.000853
139	F3	-	0.542957	0.439607	0.353306	0.206701	0.000765	0.994350	0.004202	0.997099	0.000635	0.002198	0.389311	0.543450	0.065909	0.014248	0.004611	0.980645	0.998468	0.000220	0.001078	0.996478	0.000799	0.002675	0.995412	0.001029	0.003483	0.000393	0.997670	0.001458	0.002606	0.988998	0.008365	0.001293	0.001293	0.996994
140	F3	-	0.401239	0.302599	0.499944	0.197281	0.994751	0.000873	0.003761	0.000635	0.997099	0.002198	0.001309	0.994214	0.004386	0.990837	0.000867	0.008188	0.000357	0.994377	0.005097	0.996478	0.000799	0.002675	0.001029	0.995412	0.003483	0.002522	0.002522	0.994497	0.037830	0.014362	0.947724	0.000239	0.998918	0.000804
141	F3	-	0.494737	0.233974	0.243091	0.521525	0.300245	0.009728	0.681748	0.997099	0.000635	0.002198	0.007538	0.007538	0.984244	0.014390	0.004634	0.980692	0.000357	0.994377	0.005097	0.000723	0.995537	0.003419	0.994072	0.000766	0.004735	0.002522	0.002522	0.994497	0.022792	0.415168	0.561906	0.000000	0.000000	0.996718
142	F3	-	0.455925	0.344466	0.430976	0.222918	0.008299	0.710252	0.276208	0.996673	0.000632	0.002168	0.375639	0.524994	0.090991	0.000804	0.996379	0.002768	0.998718	0.000256	0.000959	0.007397	0.068855	0.923365	0.001029	0.995412	0.003483	0.000353	0.997593	0.001589	0.056947	0.015172	0.926815	0.998800	0.000215	0.000836
143	F3	-	0.486364	0.274426	0.301232	0.423877	0.713221	0.011159	0.274242	0.000635	0.997099	0.002198	0.001309	0.994214	0.004386	0.042524	0.013599	0.942967	0.000708	0.981128	0.017843	0.004569	0.004569	0.990691	0.006098	0.006098	0.987706	0.997423	0.000301	0.001856	0.976771	0.003153	0.020029	0.000998	0.000998	0.996850
144	F3	-	0.593320	0.294196	0.106696	0.598248	0.994751	0.000873	0.003761	0.000635	0.997099	0.002198	0.007623	0.007623	0.984336	0.042524	0.013599	0.942967	0.001692	0.010276	0.987685	0.004542	0.004542	0.990392	0.994932	0.001129	0.003436	0.089161	0.003531	0.903097	0.804811	0.026996	0.167610	0.001293	0.001293	0.996994
145	F3	-	0.535614	0.403268	0.331479	0.264692	0.994662	0.000806	0.004086	0.997099	0.000635	0.002198	0.007548	0.424749	0.564881	0.000587	0.995310	0.003732	0.998718	0.000256	0.000959	0.996478	0.000799	0.002675	0.013082	0.477718	0.508064	0.000424	0.998055	0.001428	0.022792	0.415168	0.561906	0.001293	0.001293	0.996994
146	F3	-	0.477010	0.296267	0.341953	0.361485	0.000931	0.995507	0.003381	0.003693	0.003693	0.991846	0.007742	0.007742	0.984383	0.000804	0.996379	0.002768	0.001714	0.011264	0.986567	0.937907	0.004882	0.056981	0.001029	0.995412	0.003483	0.997680	0.000380	0.001418	0.012368	0.404060	0.583191	0.998800	0.000215	0.000836
