Id	Cycle	Group	MS	All(+/+)	All(-/-)	All(+/-)	QTL1(+/+)	QTL1(-/-)	QTL1(+/-)	QTL2(+/+)	QTL2(-/-)	QTL2(+/-)	QTL3(+/+)	QTL3(-/-)	QTL3(+/-)	QTL4(+/+)	QTL4(-/-)	QTL4(+/-)	QTL5(+/+)	QTL5(-/-)	QTL5(+/-)	QTL6(+/+)	QTL6(-/-)	QTL6(+/-)	QTL7(+/+)	QTL7(-/-)	QTL7(+/-)	QTL8(+/+)	QTL8(-/-)	QTL8(+/-)	QTL9(+/+)	QTL9(-/-)	QTL9(+/-)	QTL10(+/+)	QTL10(-/-)	QTL10(+/-)
14	F3	G2	0.548145	0.399890	0.303327	0.296511	0.995704	0.000968	0.003223	0.996668	0.000650	0.002164	0.007366	0.007366	0.984083	0.990837	0.000867	0.008188	0.002253	0.029024	0.968369	0.007394	0.007394	0.984999	0.995412	0.001029	0.003483	0.000424	0.998055	0.001428	0.002606	0.988998	0.008365	0.000239	0.998918	0.000804
15	F3	G2	0.537084	0.467451	0.392299	0.139266	0.671749	0.256708	0.063800	0.997099	0.000635	0.002198	0.994214	0.001309	0.004386	0.009827	0.682191	0.307384	0.000357	0.994377	0.005097	0.996478	0.000799	0.002675	0.001029	0.995412	0.003483	0.002350	0.002350	0.994439	0.002606	0.988998	0.008365	0.998800	0.000215	0.000836
16	F3	G2	0.573260	0.379478	0.231676	0.387564	0.003885	0.295303	0.691581	0.997099	0.000635	0.002198	0.001309	0.994214	0.004386	0.014390	0.004634	0.980692	0.001692	0.010276	0.987685	0.000799	0.996478	0.002675	0.995412	0.001029	0.003483	0.002522	0.002522	0.994497	0.819114	0.009935	0.170532	0.958559	0.001734	0.037910
17	F3	G2	0.106556	0.006419	0.792879	0.200274	0.001047	0.995090	0.003189	0.000650	0.996668	0.002164	0.007366	0.007366	0.984083	0.014248	0.004611	0.980645	0.000357	0.994377	0.005097	0.000799	0.996478	0.002675	0.001029	0.995412	0.003483	0.000424	0.998055	0.001428	0.002606	0.988998	0.008365	0.035662	0.951734	0.011610
18	F3	G2	0.361616	0.203625	0.479703	0.315980	0.005677	0.005677	0.987989	0.003827	0.003827	0.991350	0.001309	0.994214	0.004386	0.014390	0.004634	0.980692	0.000708	0.981128	0.017843	0.004681	0.937835	0.056562	0.001051	0.994353	0.003224	0.997423	0.000301	0.001856	0.048629	0.873328	0.077988	0.958559	0.001734	0.037910
19	F3	G2	0.523023	0.422555	0.372983	0.200936	0.009728	0.300245	0.681748	0.006774	0.756458	0.226539	0.001309	0.994214	0.004386	0.224749	0.136032	0.626634	0.998718	0.000256	0.000959	0.996478	0.000799	0.002675	0.013065	0.540888	0.444913	0.997961	0.000407	0.001481	0.976771	0.003153	0.020029	0.000000	0.997382	0.000000
20	F3	G2	0.567499	0.339119	0.203752	0.456759	0.000765	0.994350	0.004202	0.003891	0.003891	0.992038	0.994214	0.001309	0.004386	0.354190	0.014410	0.630482	0.001692	0.010276	0.987685	0.996478	0.000799	0.002675	0.001029	0.995412	0.003483	0.002522	0.002522	0.994497	0.037830	0.014362	0.947724	0.998582	0.000189	0.000419
21	F3	G3	0.262019	0.184108	0.659158	0.155822	0.266055	0.675540	0.055097	0.003696	0.003696	0.991851	0.001309	0.994214	0.004386	0.973304	0.002813	0.023523	0.000357	0.994377	0.005097	0.052441	0.923442	0.023558	0.540888	0.013065	0.444913	0.000424	0.998055	0.001428	0.002606	0.988998	0.008365	0.000000	0.997382	0.000000
22	F3	G3	0.363263	0.217858	0.489784	0.290810	0.005495	0.005495	0.987998	0.000635	0.997099	0.002198	0.014304	0.587413	0.397419	0.158253	0.325846	0.504656	0.998718	0.000256	0.000959	0.996478	0.000799	0.002675	0.000685	0.992893	0.005512	0.000424	0.998055	0.001428	0.002606	0.988998	0.008365	0.000982	0.000982	0.996887
23	F3	G3	0.647830	0.496993	0.200998	0.301674	0.005495	0.005495	0.987998	0.996673	0.000632	0.002168	0.001309	0.994214	0.004386	0.990837	0.000867	0.008188	0.998718	0.000256	0.000959	0.004569	0.004569	0.990691	0.001074	0.994916	0.003271	0.997961	0.000407	0.001481	0.972001	0.007334	0.020603	0.001293	0.001293	0.996994
24	F3	G3	0.529511	0.370157	0.307932	0.318709	0.300245	0.009728	0.681748	0.996245	0.000474	0.002995	0.001099	0.992642	0.005882	0.744288	0.111653	0.141959	0.998718	0.000256	0.000959	0.007494	0.069021	0.923379	0.008870	0.534108	0.440951	0.089161	0.003531	0.903097	0.555265	0.359286	0.085269	0.000183	0.998626	0.000853
25	F3	G3	0.507345	0.216660	0.200789	0.581371	0.005301	0.005301	0.987903	0.996283	0.000495	0.002892	0.007469	0.007469	0.984184	0.002587	0.989206	0.008024	0.133966	0.003553	0.857639	0.007494	0.069021	0.923379	0.019580	0.019580	0.959712	0.002350	0.002350	0.994439	0.033010	0.909180	0.057630	0.958559	0.001734	0.037910
26	F3	G3	0.601720	0.453901	0.249986	0.295638	0.713221	0.011159	0.274242	0.003891	0.003891	0.992038	0.001309	0.994214	0.004386	0.990837	0.000867	0.008188	0.998468	0.000220	0.001078	0.996478	0.000799	0.002675	0.013082	0.477718	0.508064	0.002428	0.002428	0.994323	0.819114	0.009935	0.170532	0.000183	0.998626	0.000853
27	F3	G3	0.343560	0.226411	0.531981	0.234299	0.995101	0.001007	0.003317	0.000650	0.996668	0.002164	0.007548	0.424749	0.564881	0.000804	0.996379	0.002768	0.102650	0.833352	0.000000	0.920254	0.046770	0.029714	0.005934	0.005934	0.987601	0.000353	0.997593	0.001589	0.230660	0.018857	0.750106	0.000151	0.998504	0.000853
28	F3	G3	0.652022	0.604569	0.300011	0.094906	0.000931	0.995507	0.003381	0.000635	0.997099	0.002198	0.993624	0.001399	0.004394	0.990837	0.000867	0.008188	0.998639	0.000252	0.000994	0.000799	0.996478	0.002675	0.994916	0.001074	0.003271	0.089738	0.004061	0.903099	0.976771	0.003153	0.020029	0.998800	0.000215	0.000836
29	F3	G3	0.446958	0.394954	0.500687	0.104009	0.000765	0.994350	0.004202	0.000635	0.997099	0.002198	0.994214	0.001309	0.004386	0.002587	0.989206	0.008024	0.998468	0.000220	0.001078	0.000799	0.996478	0.002675	0.995412	0.001029	0.003483	0.002537	0.002537	0.994050	0.002606	0.988998	0.008365	0.951514	0.035647	0.011632
30	F3	G3	0.694985	0.592062	0.201187	0.205847	0.995101	0.001007	0.003317	0.247735	0.002566	0.744120	0.001309	0.994214	0.004386	0.705054	0.013166	0.280793	0.998718	0.000256	0.000959	0.996478	0.000799	0.002675	0.001029	0.995412	0.003483	0.997423	0.000301	0.001856	0.976771	0.003153	0.020029	0.000998	0.000998	0.996850
31	F3	G2	0.498757	0.398337	0.400605	0.200840	0.000931	0.995507	0.003381	0.997099	0.000635	0.002198	0.007538	0.007538	0.984244	0.000804	0.996379	0.002768	0.001714	0.011264	0.986567	0.000723	0.995537	0.003419	0.001029	0.995412	0.003483	0.997961	0.000407	0.001481	0.976771	0.003153	0.020029	0.998800	0.000215	0.000836
32	F3	G2	0.428242	0.259557	0.402796	0.337370	0.995704	0.000968	0.003223	0.003891	0.003891	0.992038	0.001309	0.994214	0.004386	0.616067	0.006559	0.376722	0.000608	0.984294	0.014626	0.937907	0.004882	0.056981	0.001029	0.995412	0.003483	0.002428	0.002428	0.994323	0.036391	0.036391	0.927117	0.000239	0.998918	0.000804
33	F3	G2	0.371641	0.268717	0.525034	0.205848	0.677706	0.267440	0.052994	0.000635	0.997099	0.002198	0.993624	0.001399	0.004394	0.014390	0.004634	0.980692	0.000357	0.994377	0.005097	0.000799	0.996478	0.002675	0.995412	0.001029	0.003483	0.000353	0.997593	0.001589	0.002606	0.988998	0.008365	0.001293	0.001293	0.996994
